s,m/s,,s
Time,error,iter,cputime
 0.000E+00, 0.000E+00, 0.000E+00, 5.444E+00
 2.495E-02, 1.800E-03, 1.000E+00, 6.446E+00
 4.990E-02, 2.368E-02, 1.000E+01, 6.862E+00
 7.484E-02, 1.522E-02, 6.000E+00, 7.475E+00
 9.979E-02, 1.758E-01, 1.000E+01, 7.918E+00
 1.247E-01, 1.433E-01, 1.000E+01, 8.390E+00
 1.497E-01, 5.599E-01, 1.000E+01, 9.014E+00
 1.506E-01, 5.247E-01, 1.000E+01, 9.634E+00
 1.603E-01, 2.695E-01, 1.000E+01, 1.167E+01
 1.829E-01, 6.999E-02, 1.000E+01, 1.523E+01
 2.027E-01, 5.398E-02, 1.000E+01, 1.784E+01
 2.233E-01, 5.455E-02, 1.000E+01, 1.948E+01
 2.407E-01, 4.944E-02, 1.000E+01, 2.067E+01
 2.617E-01, 3.864E-02, 1.000E+01, 2.160E+01
 2.872E-01, 5.022E-02, 1.000E+01, 2.254E+01
 3.019E-01, 6.045E-02, 1.000E+01, 2.334E+01
 3.342E-01, 3.746E-02, 1.000E+01, 2.403E+01
 3.503E-01, 2.873E-02, 1.000E+01, 2.482E+01
 3.648E-01, 1.505E-02, 1.000E+01, 2.542E+01
 3.902E-01, 1.441E-02, 7.000E+00, 2.629E+01
 4.029E-01, 1.995E-02, 1.000E+01, 2.699E+01
 4.251E-01, 2.349E-02, 1.000E+01, 2.779E+01
 4.474E-01, 1.563E-02, 9.000E+00, 2.865E+01
 4.684E-01, 1.491E-02, 6.114E+00, 2.967E+01
 4.883E-01, 1.175E-02, 4.000E+00, 3.066E+01
 5.081E-01, 1.456E-02, 3.000E+00, 3.149E+01
 5.280E-01, 1.524E-02, 4.500E+00, 3.238E+01
 5.478E-01, 1.506E-02, 5.000E+00, 3.325E+01
 5.677E-01, 1.154E-02, 4.000E+00, 3.413E+01
 5.875E-01, 1.309E-02, 5.000E+00, 3.503E+01
 6.051E-01, 1.234E-02, 4.500E+00, 3.603E+01
 6.226E-01, 1.493E-02, 5.500E+00, 3.686E+01
 6.402E-01, 1.404E-02, 4.500E+00, 3.777E+01
