s,m/s,,s
Time,error,iter,cputime
 1.981E+00, 9.903E-05, 1.345E+02, 8.388E+02
 2.000E+00, 9.931E-05, 1.528E+02, 8.608E+02
 2.021E+00, 9.908E-05, 1.291E+02, 8.850E+02
 2.041E+00, 9.915E-05, 1.418E+02, 9.090E+02
 2.060E+00, 9.906E-05, 1.337E+02, 9.322E+02
 2.081E+00, 9.888E-05, 1.245E+02, 9.557E+02
 2.100E+00, 9.902E-05, 1.204E+02, 9.801E+02
 2.121E+00, 9.926E-05, 1.266E+02, 1.005E+03
 2.141E+00, 9.879E-05, 1.328E+02, 1.031E+03
 2.161E+00, 9.886E-05, 1.495E+02, 1.057E+03
 2.180E+00, 9.899E-05, 1.326E+02, 1.083E+03
 2.201E+00, 9.901E-05, 1.280E+02, 1.108E+03
 2.220E+00, 9.925E-05, 1.404E+02, 1.134E+03
 2.241E+00, 9.892E-05, 1.370E+02, 1.161E+03
 2.261E+00, 9.899E-05, 1.294E+02, 1.184E+03
 2.280E+00, 9.884E-05, 1.278E+02, 1.209E+03
 2.301E+00, 9.897E-05, 1.455E+02, 1.237E+03
 2.321E+00, 9.886E-05, 1.303E+02, 1.266E+03
 2.341E+00, 9.900E-05, 1.371E+02, 1.293E+03
 2.360E+00, 9.909E-05, 1.244E+02, 1.320E+03
 2.381E+00, 9.895E-05, 1.160E+02, 1.347E+03
 2.400E+00, 9.902E-05, 1.129E+02, 1.376E+03
 2.421E+00, 9.871E-05, 1.172E+02, 1.404E+03
 2.440E+00, 9.885E-05, 1.087E+02, 1.433E+03
 2.460E+00, 9.891E-05, 1.157E+02, 1.461E+03
 2.480E+00, 9.879E-05, 1.110E+02, 1.491E+03
 2.500E+00, 9.889E-05, 1.147E+02, 1.520E+03
 2.521E+00, 9.879E-05, 1.231E+02, 1.550E+03
 2.541E+00, 9.880E-05, 1.258E+02, 1.580E+03
 2.560E+00, 9.869E-05, 1.231E+02, 1.609E+03
 2.580E+00, 9.917E-05, 1.142E+02, 1.637E+03
 2.600E+00, 9.884E-05, 1.316E+02, 1.664E+03
 2.621E+00, 9.886E-05, 1.228E+02, 1.691E+03
 2.641E+00, 9.907E-05, 1.228E+02, 1.720E+03
 2.661E+00, 9.913E-05, 1.238E+02, 1.749E+03
 2.681E+00, 9.879E-05, 1.174E+02, 1.778E+03
 2.700E+00, 9.904E-05, 1.208E+02, 1.806E+03
 2.721E+00, 9.919E-05, 1.249E+02, 1.834E+03
 2.740E+00, 9.871E-05, 1.095E+02, 1.861E+03
 2.761E+00, 9.903E-05, 1.238E+02, 1.889E+03
 2.780E+00, 9.891E-05, 1.060E+02, 1.915E+03
 2.801E+00, 9.871E-05, 1.307E+02, 1.940E+03
 2.820E+00, 9.911E-05, 1.231E+02, 1.964E+03
 2.840E+00, 9.915E-05, 1.267E+02, 1.988E+03
 2.861E+00, 9.886E-05, 1.315E+02, 2.013E+03
 2.881E+00, 9.878E-05, 1.321E+02, 2.038E+03
 2.901E+00, 9.860E-05, 1.222E+02, 2.062E+03
 2.921E+00, 9.894E-05, 1.302E+02, 2.085E+03
