s,m/s,,s
Time,error,iter,cputime
 1.981E+00, 1.155E-15, 1.000E+00, 1.723E+03
 2.001E+00, 1.499E-15, 1.000E+00, 1.764E+03
 2.020E+00, 1.515E-15, 1.000E+00, 1.808E+03
 2.040E+00, 1.620E-15, 1.000E+00, 1.851E+03
 2.061E+00, 1.589E-15, 1.000E+00, 1.898E+03
 2.080E+00, 1.579E-15, 1.000E+00, 1.970E+03
 2.101E+00, 1.543E-15, 1.000E+00, 2.035E+03
 2.121E+00, 1.579E-15, 1.000E+00, 2.083E+03
 2.140E+00, 1.628E-15, 1.000E+00, 2.129E+03
 2.161E+00, 1.543E-15, 1.000E+00, 2.176E+03
 2.181E+00, 1.672E-15, 1.000E+00, 2.223E+03
 2.200E+00, 1.720E-15, 1.000E+00, 2.266E+03
 2.221E+00, 1.776E-15, 1.000E+00, 2.312E+03
 2.241E+00, 1.683E-15, 1.000E+00, 2.360E+03
 2.260E+00, 1.776E-15, 1.000E+00, 2.407E+03
 2.281E+00, 1.776E-15, 1.000E+00, 2.454E+03
 2.301E+00, 1.687E-15, 1.000E+00, 2.503E+03
 2.321E+00, 1.863E-15, 1.000E+00, 2.559E+03
 2.341E+00, 1.897E-15, 1.000E+00, 2.616E+03
 2.361E+00, 1.776E-15, 1.000E+00, 2.670E+03
 2.380E+00, 1.917E-15, 1.000E+00, 2.719E+03
 2.401E+00, 1.732E-15, 1.000E+00, 2.768E+03
 2.420E+00, 1.870E-15, 1.000E+00, 2.818E+03
 2.440E+00, 2.487E-15, 1.000E+00, 2.867E+03
 2.461E+00, 2.467E-15, 1.000E+00, 2.921E+03
 2.481E+00, 2.173E-15, 1.000E+00, 2.978E+03
 2.500E+00, 2.146E-15, 1.000E+00, 3.038E+03
 2.520E+00, 1.667E-15, 1.000E+00, 3.099E+03
 2.540E+00, 1.616E-15, 1.000E+00, 3.157E+03
 2.561E+00, 1.649E-15, 1.000E+00, 3.211E+03
 2.580E+00, 1.643E-15, 1.000E+00, 3.263E+03
 2.601E+00, 1.692E-15, 1.000E+00, 3.315E+03
 2.621E+00, 1.776E-15, 1.000E+00, 3.368E+03
