s,m/s,,s
Time,error,iter,cputime
 1.981E+00, 1.403E-02, 7.000E+00, 8.987E+02
 2.001E+00, 1.354E-02, 7.133E+00, 9.215E+02
 2.021E+00, 1.384E-02, 7.733E+00, 9.453E+02
 2.041E+00, 1.356E-02, 6.992E+00, 9.699E+02
 2.060E+00, 1.375E-02, 7.400E+00, 9.951E+02
 2.081E+00, 1.319E-02, 7.500E+00, 1.020E+03
 2.100E+00, 1.379E-02, 7.059E+00, 1.046E+03
 2.121E+00, 1.278E-02, 7.167E+00, 1.073E+03
 2.141E+00, 1.278E-02, 6.882E+00, 1.101E+03
 2.160E+00, 1.308E-02, 7.059E+00, 1.127E+03
 2.180E+00, 1.298E-02, 6.519E+00, 1.156E+03
 2.200E+00, 1.301E-02, 6.200E+00, 1.186E+03
 2.220E+00, 1.276E-02, 6.200E+00, 1.215E+03
 2.241E+00, 1.226E-02, 6.286E+00, 1.245E+03
 2.261E+00, 1.243E-02, 6.300E+00, 1.274E+03
 2.281E+00, 1.340E-02, 6.850E+00, 1.305E+03
 2.301E+00, 1.328E-02, 6.649E+00, 1.336E+03
 2.321E+00, 1.321E-02, 7.222E+00, 1.366E+03
 2.341E+00, 1.244E-02, 6.859E+00, 1.397E+03
 2.360E+00, 1.312E-02, 7.000E+00, 1.429E+03
 2.380E+00, 1.262E-02, 7.236E+00, 1.464E+03
 2.400E+00, 1.240E-02, 7.264E+00, 1.502E+03
 2.420E+00, 1.233E-02, 7.190E+00, 1.540E+03
 2.440E+00, 1.217E-02, 6.440E+00, 1.575E+03
 2.461E+00, 1.197E-02, 6.542E+00, 1.610E+03
 2.481E+00, 1.159E-02, 6.043E+00, 1.645E+03
 2.501E+00, 1.277E-02, 6.171E+00, 1.679E+03
 2.520E+00, 1.369E-02, 6.143E+00, 1.711E+03
 2.541E+00, 1.261E-02, 6.300E+00, 1.741E+03
 2.560E+00, 1.287E-02, 6.279E+00, 1.769E+03
 2.581E+00, 1.274E-02, 6.833E+00, 1.796E+03
 2.600E+00, 1.307E-02, 6.789E+00, 1.825E+03
 2.621E+00, 1.290E-02, 6.850E+00, 1.855E+03
 2.641E+00, 1.292E-02, 7.150E+00, 1.887E+03
 2.660E+00, 1.299E-02, 7.368E+00, 1.918E+03
 2.681E+00, 1.270E-02, 7.050E+00, 1.985E+03
 2.701E+00, 1.243E-02, 6.778E+00, 2.033E+03
 2.721E+00, 1.279E-02, 6.500E+00, 2.068E+03
 2.740E+00, 1.163E-02, 6.086E+00, 2.103E+03
 2.761E+00, 1.183E-02, 6.141E+00, 2.139E+03
 2.780E+00, 1.326E-02, 6.450E+00, 2.171E+03
 2.800E+00, 1.203E-02, 6.211E+00, 2.201E+03
 2.821E+00, 1.337E-02, 6.418E+00, 2.229E+03
 2.840E+00, 1.356E-02, 6.471E+00, 2.255E+03
 2.860E+00, 1.313E-02, 6.882E+00, 2.280E+03
 2.881E+00, 1.347E-02, 7.167E+00, 2.307E+03
 2.901E+00, 1.335E-02, 7.059E+00, 2.334E+03
 2.921E+00, 1.328E-02, 7.118E+00, 2.360E+03
 2.940E+00, 1.297E-02, 7.000E+00, 2.387E+03
 2.960E+00, 1.363E-02, 7.105E+00, 2.416E+03
 2.981E+00, 1.309E-02, 6.551E+00, 2.446E+03
 3.000E+00, 1.227E-02, 5.838E+00, 2.477E+03
 3.021E+00, 1.225E-02, 6.589E+00, 2.510E+03
 3.040E+00, 1.283E-02, 6.833E+00, 2.540E+03
 3.060E+00, 1.278E-02, 6.821E+00, 2.570E+03
 3.080E+00, 1.222E-02, 6.053E+00, 2.600E+03
 3.100E+00, 1.344E-02, 6.316E+00, 2.627E+03
 3.121E+00, 1.297E-02, 7.050E+00, 2.655E+03
 3.141E+00, 1.292E-02, 6.368E+00, 2.683E+03
 3.161E+00, 1.362E-02, 7.000E+00, 2.711E+03
 3.180E+00, 1.333E-02, 6.737E+00, 2.738E+03
 3.200E+00, 1.349E-02, 6.842E+00, 2.766E+03
 3.221E+00, 1.330E-02, 7.200E+00, 2.796E+03
 3.241E+00, 1.350E-02, 6.684E+00, 2.825E+03
 3.261E+00, 1.289E-02, 7.368E+00, 2.854E+03
