s,m/s,,s
Time,error,iter,cputime
 1.981E+00, 1.542E-15, 1.000E+00, 7.249E+02
 2.001E+00, 1.610E-15, 1.000E+00, 7.431E+02
 2.020E+00, 1.417E-15, 1.000E+00, 7.623E+02
 2.040E+00, 1.512E-15, 1.000E+00, 7.814E+02
 2.061E+00, 1.589E-15, 1.000E+00, 8.020E+02
 2.080E+00, 1.579E-15, 1.000E+00, 8.222E+02
 2.101E+00, 1.636E-15, 1.000E+00, 8.426E+02
 2.121E+00, 1.628E-15, 1.000E+00, 8.630E+02
 2.140E+00, 1.382E-15, 1.000E+00, 8.826E+02
 2.161E+00, 1.496E-15, 1.000E+00, 9.025E+02
 2.181E+00, 1.677E-15, 1.000E+00, 9.230E+02
 2.200E+00, 1.720E-15, 1.000E+00, 9.413E+02
 2.221E+00, 1.776E-15, 1.000E+00, 9.609E+02
 2.241E+00, 1.683E-15, 1.000E+00, 9.818E+02
 2.260E+00, 1.628E-15, 1.000E+00, 1.001E+03
 2.281E+00, 1.683E-15, 1.000E+00, 1.021E+03
 2.301E+00, 1.734E-15, 1.000E+00, 1.042E+03
 2.321E+00, 1.701E-15, 1.000E+00, 1.065E+03
 2.341E+00, 1.817E-15, 1.000E+00, 1.088E+03
 2.361E+00, 1.859E-15, 1.000E+00, 1.111E+03
 2.380E+00, 1.776E-15, 1.000E+00, 1.131E+03
 2.401E+00, 1.732E-15, 1.000E+00, 1.152E+03
 2.420E+00, 1.870E-15, 1.000E+00, 1.173E+03
 2.440E+00, 2.398E-15, 1.000E+00, 1.194E+03
 2.461E+00, 2.428E-15, 1.000E+00, 1.217E+03
 2.481E+00, 2.182E-15, 1.000E+00, 1.241E+03
 2.500E+00, 2.035E-15, 1.000E+00, 1.265E+03
 2.520E+00, 1.590E-15, 1.000E+00, 1.291E+03
 2.540E+00, 1.576E-15, 1.000E+00, 1.315E+03
 2.561E+00, 1.565E-15, 1.000E+00, 1.337E+03
 2.580E+00, 1.643E-15, 1.000E+00, 1.359E+03
 2.601E+00, 1.692E-15, 1.000E+00, 1.381E+03
 2.621E+00, 1.776E-15, 1.000E+00, 1.403E+03
 2.640E+00, 1.875E-15, 1.000E+00, 1.423E+03
 2.661E+00, 2.150E-15, 1.000E+00, 1.442E+03
 2.681E+00, 2.052E-15, 1.000E+00, 1.463E+03
 2.700E+00, 1.946E-15, 1.000E+00, 1.485E+03
