s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 1.3041656E-001, 5.6901455E-002, 8.8491237E-006, 5.0000000E+000, 1.2379825E+002, 4.2000000E+001, 7.9004870E-009, 5.8562992E-001
 1.3246896E-001, 5.6869988E-002, 9.8709088E-006, 5.0000000E+000, 1.2642561E+002, 4.3000000E+001, 7.5819441E-009, 5.9102390E-001
 1.3452135E-001, 5.6838069E-002, 9.7759985E-006, 5.0000000E+000, 1.2907324E+002, 4.3000000E+001, 7.5404760E-009, 5.9106848E-001
 1.3657375E-001, 5.6805698E-002, 8.0345017E-006, 6.0000000E+000, 1.3184736E+002, 4.2000000E+001, 8.4599709E-009, 5.8863962E-001
 1.3862614E-001, 5.6772877E-002, 9.0938211E-006, 5.0000000E+000, 1.3454145E+002, 4.2000000E+001, 9.0829710E-009, 5.8722014E-001
 1.4067854E-001, 5.6739606E-002, 8.0944122E-006, 6.0000000E+000, 1.3776567E+002, 4.3000000E+001, 6.0180293E-009, 5.9113434E-001
 1.4273094E-001, 5.6705886E-002, 9.7981983E-006, 5.0000000E+000, 1.4061241E+002, 4.3000000E+001, 5.9649798E-009, 5.8782416E-001
 1.4478333E-001, 5.6671720E-002, 8.5792527E-006, 6.0000000E+000, 1.4331094E+002, 4.3000000E+001, 5.6637684E-009, 5.8952739E-001
 1.4660868E-001, 5.6648400E-002, 8.2776108E-006, 5.0000000E+000, 1.4629733E+002, 4.2000000E+001, 7.4156474E-009, 5.8424549E-001
 1.4843402E-001, 5.6617375E-002, 9.0784474E-006, 5.0000000E+000, 1.4907875E+002, 4.3000000E+001, 5.2814039E-009, 5.8576966E-001
 1.5025937E-001, 5.6585998E-002, 9.3139754E-006, 5.0000000E+000, 1.5174255E+002, 4.1000000E+001, 8.7660049E-009, 5.7745064E-001
 1.5208471E-001, 5.6554271E-002, 9.3384168E-006, 5.0000000E+000, 1.5447598E+002, 4.3000000E+001, 9.4754675E-009, 5.9342786E-001
 1.5391005E-001, 5.6522193E-002, 9.4184741E-006, 5.0000000E+000, 1.5746524E+002, 4.3000000E+001, 5.6920737E-009, 5.8632738E-001
 1.5573540E-001, 5.6489767E-002, 9.5571358E-006, 5.0000000E+000, 1.5981802E+002, 4.3000000E+001, 7.5481644E-009, 5.9000161E-001
 1.5756074E-001, 5.6456992E-002, 9.3980998E-006, 5.0000000E+000, 1.6233609E+002, 4.3000000E+001, 6.3960042E-009, 5.8794542E-001
 1.5938609E-001, 5.6423870E-002, 9.9775842E-006, 5.0000000E+000, 1.6501910E+002, 4.3000000E+001, 8.1445882E-009, 5.9049378E-001
 1.6121143E-001, 5.6390402E-002, 9.8219831E-006, 5.0000000E+000, 1.6819122E+002, 4.3000000E+001, 6.6661225E-009, 5.8794954E-001
 1.6303678E-001, 5.6356587E-002, 9.9932911E-006, 5.0000000E+000, 1.7091729E+002, 4.3000000E+001, 7.1024544E-009, 5.8859504E-001
 1.6467522E-001, 5.6332793E-002, 8.5286541E-006, 5.0000000E+000, 1.7348971E+002, 4.3000000E+001, 7.1541892E-009, 5.8943536E-001
 1.6631366E-001, 5.6301934E-002, 8.4408861E-006, 5.0000000E+000, 1.7600277E+002, 4.3000000E+001, 5.9104273E-009, 5.8695597E-001
 1.6795210E-001, 5.6270798E-002, 8.5225337E-006, 5.0000000E+000, 1.7865501E+002, 4.2000000E+001, 8.6976075E-009, 5.8478551E-001
 1.6959054E-001, 5.6239387E-002, 8.5858919E-006, 5.0000000E+000, 1.8163894E+002, 4.3000000E+001, 8.1071889E-009, 5.9106367E-001
 1.7122898E-001, 5.6207700E-002, 8.6580763E-006, 5.0000000E+000, 1.8414077E+002, 4.3000000E+001, 8.4431627E-009, 5.9151281E-001
 1.7286742E-001, 5.6175739E-002, 8.7467270E-006, 5.0000000E+000, 1.8704402E+002, 4.3000000E+001, 7.4434843E-009, 5.8964940E-001
 1.7450586E-001, 5.6143503E-002, 8.8416828E-006, 5.0000000E+000, 1.8981803E+002, 4.3000000E+001, 8.1317895E-009, 5.9072270E-001
 1.7614430E-001, 5.6110994E-002, 8.9362537E-006, 5.0000000E+000, 1.9250982E+002, 4.3000000E+001, 9.3075973E-009, 5.9244162E-001
 1.7778273E-001, 5.6078212E-002, 9.0292878E-006, 5.0000000E+000, 1.9534814E+002, 4.2000000E+001, 3.8688898E-009, 5.7286601E-001
 1.7942117E-001, 5.6045158E-002, 9.1212892E-006, 5.0000000E+000, 1.9746997E+002, 4.3000000E+001, 5.8095053E-009, 5.8571731E-001
 1.8105961E-001, 5.6011832E-002, 9.2125382E-006, 5.0000000E+000, 2.0040814E+002, 4.3000000E+001, 5.7114415E-009, 5.8535619E-001
 1.8269805E-001, 5.5978236E-002, 9.3030178E-006, 5.0000000E+000, 2.0303030E+002, 4.3000000E+001, 7.9562481E-009, 5.8975809E-001
 1.8433649E-001, 5.5944369E-002, 9.3926607E-006, 5.0000000E+000, 2.0595030E+002, 4.3000000E+001, 8.9263501E-009, 5.9121206E-001
 1.8580885E-001, 5.5920524E-002, 9.9787641E-006, 4.0000000E+000, 2.0873590E+002, 4.3000000E+001, 6.2641616E-009, 5.8331140E-001
 1.8728120E-001, 5.5889694E-002, 8.5758061E-006, 5.0000000E+000, 2.1134787E+002, 4.3000000E+001, 7.2269466E-009, 5.8816557E-001
 1.8875356E-001, 5.5858646E-002, 9.8276957E-006, 4.0000000E+000, 2.1365414E+002, 4.3000000E+001, 6.6257025E-009, 5.8426251E-001
