s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 1.7450228E-001, 5.6143574E-002, 0.0000000E+000, 1.0000000E+000, 1.1324402E+002
 1.7614070E-001, 5.6111066E-002, 0.0000000E+000, 1.0000000E+000, 1.1526928E+002
 1.7777911E-001, 5.6078285E-002, 0.0000000E+000, 1.0000000E+000, 1.1721673E+002
 1.7941753E-001, 5.6045232E-002, 0.0000000E+000, 1.0000000E+000, 1.1941424E+002
 1.8105595E-001, 5.6011908E-002, 0.0000000E+000, 1.0000000E+000, 1.2158043E+002
 1.8269437E-001, 5.5978313E-002, 0.0000000E+000, 1.0000000E+000, 1.2321808E+002
 1.8433278E-001, 5.5944447E-002, 0.0000000E+000, 1.0000000E+000, 1.2488772E+002
 1.8580511E-001, 5.5920603E-002, 0.0000000E+000, 1.0000000E+000, 1.2778515E+002
 1.8727744E-001, 5.5889774E-002, 0.0000000E+000, 1.0000000E+000, 1.2931356E+002
 1.8874976E-001, 5.5858728E-002, 0.0000000E+000, 1.0000000E+000, 1.3091578E+002
 1.9022209E-001, 5.5827466E-002, 0.0000000E+000, 1.0000000E+000, 1.3273021E+002
 1.9169442E-001, 5.5795988E-002, 0.0000000E+000, 1.0000000E+000, 1.3419744E+002
 1.9316674E-001, 5.5764295E-002, 0.0000000E+000, 1.0000000E+000, 1.3544388E+002
 1.9463907E-001, 5.5732387E-002, 0.0000000E+000, 1.0000000E+000, 1.3664448E+002
 1.9611140E-001, 5.5700266E-002, 0.0000000E+000, 1.0000000E+000, 1.3802331E+002
 1.9758372E-001, 5.5667931E-002, 0.0000000E+000, 1.0000000E+000, 1.3968999E+002
 1.9905605E-001, 5.5635383E-002, 0.0000000E+000, 1.0000000E+000, 1.4034557E+002
 2.0052838E-001, 5.5602622E-002, 0.0000000E+000, 1.0000000E+000, 1.4236812E+002
 2.0200071E-001, 5.5569650E-002, 0.0000000E+000, 1.0000000E+000, 1.4375043E+002
 2.0347303E-001, 5.5536466E-002, 0.0000000E+000, 1.0000000E+000, 1.4586619E+002
