s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 1.3051111E-001, 5.6899957E-002, 1.5696277E-004, 1.0000000E+000, 4.3798403E+001, 4.3000000E+001, 5.8507855E-009, 5.3853929E-001
 1.3256552E-001, 5.6868437E-002, 1.6506633E-004, 1.0000000E+000, 4.4918479E+001, 4.4000000E+001, 3.3642537E-009, 5.3930933E-001
 1.3461994E-001, 5.6836464E-002, 1.7755806E-004, 1.0000000E+000, 4.5764460E+001, 4.4000000E+001, 3.0976971E-009, 5.3799711E-001
 1.3667435E-001, 5.6804038E-002, 1.8121522E-004, 1.0000000E+000, 4.6819888E+001, 4.3000000E+001, 6.3142241E-009, 5.3899152E-001
 1.3872877E-001, 5.6771161E-002, 1.8087200E-004, 1.0000000E+000, 4.7640647E+001, 4.4000000E+001, 3.3626407E-009, 5.3878772E-001
 1.4078319E-001, 5.6737834E-002, 1.8146979E-004, 1.0000000E+000, 4.8562255E+001, 4.4000000E+001, 4.2516488E-009, 5.4160829E-001
 1.4283760E-001, 5.6704057E-002, 1.8369182E-004, 1.0000000E+000, 4.9335711E+001, 4.3000000E+001, 9.2272234E-009, 5.4355101E-001
 1.4489202E-001, 5.6669832E-002, 1.8601990E-004, 1.0000000E+000, 5.0692984E+001, 4.4000000E+001, 4.4774088E-009, 5.4203986E-001
 1.4671868E-001, 5.6646497E-002, 1.3448482E-004, 1.0000000E+000, 5.1790618E+001, 4.3000000E+001, 5.7095866E-009, 5.3871519E-001
 1.4854535E-001, 5.6615427E-002, 1.3807513E-004, 1.0000000E+000, 5.2716937E+001, 4.4000000E+001, 4.2921079E-009, 5.4287080E-001
 1.5037202E-001, 5.6584006E-002, 1.4588723E-004, 1.0000000E+000, 5.3622691E+001, 4.3000000E+001, 5.9971316E-009, 5.3918069E-001
 1.5219868E-001, 5.6552233E-002, 1.4809115E-004, 1.0000000E+000, 5.4625426E+001, 4.3000000E+001, 9.1587250E-009, 5.4443109E-001
 1.5402535E-001, 5.6520110E-002, 1.4842522E-004, 1.0000000E+000, 5.5462454E+001, 4.4000000E+001, 4.9857919E-009, 5.4442242E-001
 1.5585202E-001, 5.6487638E-002, 1.5007777E-004, 1.0000000E+000, 5.6335234E+001, 4.4000000E+001, 6.0098315E-009, 5.4670948E-001
 1.5767868E-001, 5.6454816E-002, 1.5284343E-004, 1.0000000E+000, 5.7236739E+001, 4.4000000E+001, 5.0008985E-009, 5.4435804E-001
 1.5950535E-001, 5.6421647E-002, 1.5509285E-004, 1.0000000E+000, 5.8569739E+001, 4.4000000E+001, 5.6871462E-009, 5.4586130E-001
 1.6133201E-001, 5.6388131E-002, 1.5583658E-004, 1.0000000E+000, 5.9454173E+001, 4.4000000E+001, 5.6952546E-009, 5.4579840E-001
 1.6315868E-001, 5.6354269E-002, 1.5525344E-004, 1.0000000E+000, 6.0358260E+001, 4.4000000E+001, 5.0542781E-009, 5.4425613E-001
 1.6479788E-001, 5.6330464E-002, 1.1164970E-004, 1.0000000E+000, 6.1776801E+001, 4.3000000E+001, 8.5251998E-009, 5.4443376E-001
 1.6643709E-001, 5.6299570E-002, 1.1427747E-004, 1.0000000E+000, 6.2529811E+001, 4.4000000E+001, 4.5192946E-009, 5.4420713E-001
 1.6807629E-001, 5.6268399E-002, 1.2097059E-004, 1.0000000E+000, 6.3434474E+001, 4.4000000E+001, 3.6081750E-009, 5.4125578E-001
 1.6971549E-001, 5.6236951E-002, 1.2365789E-004, 1.0000000E+000, 6.4352660E+001, 4.3000000E+001, 7.4397117E-009, 5.4257318E-001
 1.7135470E-001, 5.6205228E-002, 1.2503467E-004, 1.0000000E+000, 6.5044730E+001, 4.4000000E+001, 6.0147344E-009, 5.4750475E-001
 1.7299390E-001, 5.6173230E-002, 1.2724721E-004, 1.0000000E+000, 6.6139151E+001, 4.4000000E+001, 3.8979309E-009, 5.4209412E-001
 1.7463310E-001, 5.6140958E-002, 1.2985055E-004, 1.0000000E+000, 6.6927870E+001, 4.3000000E+001, 8.9321417E-009, 5.4475321E-001
 1.7627231E-001, 5.6108412E-002, 1.3149592E-004, 1.0000000E+000, 6.7814139E+001, 4.4000000E+001, 6.8461662E-009, 5.4890814E-001
 1.7791151E-001, 5.6075593E-002, 1.3154998E-004, 1.0000000E+000, 6.8758277E+001, 4.4000000E+001, 4.5925003E-009, 5.4387847E-001
 1.7955071E-001, 5.6042502E-002, 1.3040488E-004, 1.0000000E+000, 6.9736411E+001, 4.4000000E+001, 4.3015097E-009, 5.4301890E-001
 1.8118992E-001, 5.6009139E-002, 1.2893691E-004, 1.0000000E+000, 7.0638831E+001, 4.3000000E+001, 9.1782506E-009, 5.4484047E-001
 1.8282912E-001, 5.5975506E-002, 1.2790118E-004, 1.0000000E+000, 7.1513495E+001, 4.4000000E+001, 4.0813581E-009, 5.4229108E-001
 1.8446832E-001, 5.5941602E-002, 1.2764662E-004, 1.0000000E+000, 7.2504187E+001, 4.4000000E+001, 3.8075228E-009, 5.4139014E-001
 1.8594105E-001, 5.5917749E-002, 9.2647464E-005, 1.0000000E+000, 7.3445670E+001, 4.3000000E+001, 4.7077869E-009, 5.3757391E-001
 1.8741378E-001, 5.5886891E-002, 9.5979255E-005, 1.0000000E+000, 7.4308585E+001, 4.4000000E+001, 4.5216666E-009, 5.4482392E-001
 1.8888651E-001, 5.5855816E-002, 1.0253710E-004, 1.0000000E+000, 7.5258505E+001, 4.4000000E+001, 3.7777240E-009, 5.4242953E-001
 1.9035925E-001, 5.5824525E-002, 1.0543082E-004, 1.0000000E+000, 7.6285170E+001, 4.4000000E+001, 3.8157365E-009, 5.4247483E-001
 1.9183198E-001, 5.5793019E-002, 1.0675527E-004, 1.0000000E+000, 7.7054816E+001, 4.3000000E+001, 6.9232671E-009, 5.4224507E-001
 1.9330471E-001, 5.5761297E-002, 1.0831636E-004, 1.0000000E+000, 7.7809912E+001, 4.4000000E+001, 4.6667799E-009, 5.4488083E-001
 1.9477744E-001, 5.5729360E-002, 1.0991481E-004, 1.0000000E+000, 7.8924819E+001, 4.3000000E+001, 9.7853247E-009, 5.4648987E-001
 1.9625017E-001, 5.5697210E-002, 1.1064895E-004, 1.0000000E+000, 7.9729575E+001, 4.4000000E+001, 6.2082267E-009, 5.4826763E-001
 1.9772290E-001, 5.5664846E-002, 1.1016925E-004, 1.0000000E+000, 8.0565970E+001, 4.4000000E+001, 5.4470135E-009, 5.4658070E-001
 1.9919563E-001, 5.5632268E-002, 1.0889013E-004, 1.0000000E+000, 8.1364089E+001, 4.4000000E+001, 3.9559231E-009, 5.4258066E-001
 2.0066836E-001, 5.5599478E-002, 1.0753879E-004, 1.0000000E+000, 8.2316992E+001, 4.3000000E+001, 9.2300292E-009, 5.4552956E-001
 2.0214109E-001, 5.5566477E-002, 1.0668055E-004, 1.0000000E+000, 8.3214522E+001, 4.4000000E+001, 7.2068290E-009, 5.4995589E-001
