s,Pa,m/s,
Time,"pres","error","iter"
 1.9866439E-001, 1.4450195E-002, 1.7744207E-003, 4.0000000E+000
 2.0013752E-001, 1.5788122E-002, 1.9836052E-003, 4.0000000E+000
 2.0161064E-001, 1.7248873E-002, 2.1731715E-003, 4.0000000E+000
 2.0308376E-001, 1.8828385E-002, 2.3418905E-003, 4.0000000E+000
 2.0455689E-001, 2.0521972E-002, 2.4888948E-003, 4.0000000E+000
 2.0603001E-001, 2.2323978E-002, 2.6136339E-003, 4.0000000E+000
 2.0750313E-001, 2.4227459E-002, 2.7158679E-003, 4.0000000E+000
 2.0897626E-001, 2.6223929E-002, 2.7956572E-003, 4.0000000E+000
 2.1044938E-001, 2.8303176E-002, 2.8533357E-003, 4.0000000E+000
 2.1192250E-001, 3.0453171E-002, 2.8894684E-003, 4.0000000E+000
 2.1339563E-001, 3.2660068E-002, 2.9048026E-003, 4.0000000E+000
 2.1486875E-001, 3.4908303E-002, 2.9002196E-003, 4.0000000E+000
 2.1634187E-001, 3.7180785E-002, 2.8766887E-003, 4.0000000E+000
 2.1781500E-001, 3.9459159E-002, 2.8352249E-003, 4.0000000E+000
 2.1928812E-001, 4.1724145E-002, 2.7768515E-003, 4.0000000E+000
 2.2061283E-001, 4.6528597E-002, 2.7030667E-003, 4.0000000E+000
 2.2193755E-001, 4.8944297E-002, 2.6138904E-003, 4.0000000E+000
 2.2326226E-001, 5.1275364E-002, 2.5104689E-003, 4.0000000E+000
 2.2458698E-001, 5.3501239E-002, 2.3935500E-003, 4.0000000E+000
 2.2591169E-001, 5.5602747E-002, 2.2637563E-003, 4.0000000E+000
 2.2723641E-001, 5.7562412E-002, 2.1217182E-003, 4.0000000E+000
 2.2856112E-001, 5.9364694E-002, 1.9680717E-003, 4.0000000E+000
 2.2988583E-001, 6.0996180E-002, 1.8034350E-003, 4.0000000E+000
 2.3121055E-001, 6.2445718E-002, 1.6284217E-003, 4.0000000E+000
 2.3253526E-001, 6.3704480E-002, 1.4436773E-003, 4.0000000E+000
 2.3385998E-001, 6.4765954E-002, 1.2499211E-003, 4.0000000E+000
 2.3518469E-001, 6.5625883E-002, 1.0479790E-003, 4.0000000E+000
 2.3650941E-001, 6.6282141E-002, 8.3880816E-004, 4.0000000E+000
 2.3783412E-001, 6.6734577E-002, 6.2351290E-004, 4.0000000E+000
 2.3915883E-001, 6.6984827E-002, 4.0554494E-004, 1.0000000E+000
 2.4048355E-001, 6.6872114E-002, 1.8795407E-004, 1.0000000E+000
 2.4167168E-001, 6.6741584E-002, 1.3579976E-004, 1.0000000E+000
 2.4285980E-001, 6.6586865E-002, 2.6948879E-004, 1.0000000E+000
 2.4404793E-001, 6.6404046E-002, 4.3559656E-004, 1.0000000E+000
 2.4523606E-001, 6.6193504E-002, 5.9752175E-004, 4.0000000E+000
 2.4642419E-001, 6.5315387E-002, 7.7564224E-004, 4.0000000E+000
 2.4761231E-001, 6.4269161E-002, 9.6342103E-004, 4.0000000E+000
 2.4880044E-001, 6.3067084E-002, 1.1481223E-003, 4.0000000E+000
 2.4998857E-001, 6.1720674E-002, 1.3251587E-003, 4.0000000E+000
