s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 1.3041382E-001, 5.6901498E-002, 0.0000000E+000, 1.0000000E+000, 2.1081857E+002, 3.9000000E+001, 5.1021344E-009, 5.0449871E-001
 1.3246616E-001, 5.6870033E-002, 0.0000000E+000, 1.0000000E+000, 2.1503145E+002, 3.9000000E+001, 4.4450480E-009, 5.0256190E-001
 1.3451851E-001, 5.6838115E-002, 0.0000000E+000, 1.0000000E+000, 2.2203457E+002, 3.8000000E+001, 7.1310841E-009, 4.9957374E-001
 1.3657085E-001, 5.6805746E-002, 0.0000000E+000, 1.0000000E+000, 2.2922368E+002, 3.9000000E+001, 4.7781849E-009, 5.0321216E-001
 1.3862319E-001, 5.6772926E-002, 0.0000000E+000, 1.0000000E+000, 2.3591627E+002, 3.9000000E+001, 3.1227925E-009, 4.9762701E-001
 1.4067554E-001, 5.6739656E-002, 0.0000000E+000, 1.0000000E+000, 2.4349957E+002, 3.9000000E+001, 4.9767833E-009, 5.0348883E-001
 1.4272788E-001, 5.6705938E-002, 0.0000000E+000, 1.0000000E+000, 2.5049243E+002, 3.9000000E+001, 7.1352119E-009, 5.0804712E-001
 1.4478022E-001, 5.6671773E-002, 0.0000000E+000, 1.0000000E+000, 2.5812889E+002, 3.9000000E+001, 7.2464562E-009, 5.0814145E-001
 1.4660554E-001, 5.6648454E-002, 0.0000000E+000, 1.0000000E+000, 2.6015571E+002, 3.9000000E+001, 4.9592471E-009, 5.0465191E-001
 1.4843085E-001, 5.6617430E-002, 0.0000000E+000, 1.0000000E+000, 2.6105009E+002, 3.9000000E+001, 3.9424955E-009, 5.0160051E-001
 1.5025616E-001, 5.6586054E-002, 0.0000000E+000, 1.0000000E+000, 2.6190764E+002, 3.9000000E+001, 3.1538623E-009, 4.9865852E-001
 1.5208148E-001, 5.6554328E-002, 0.0000000E+000, 1.0000000E+000, 2.6501539E+002, 3.9000000E+001, 4.4597838E-009, 5.0303149E-001
 1.5390679E-001, 5.6522252E-002, 0.0000000E+000, 1.0000000E+000, 2.7220534E+002, 3.9000000E+001, 7.2804632E-009, 5.0931807E-001
 1.5573210E-001, 5.6489827E-002, 0.0000000E+000, 1.0000000E+000, 2.7924595E+002, 3.9000000E+001, 6.0656465E-009, 5.0686789E-001
 1.5755742E-001, 5.6457053E-002, 0.0000000E+000, 1.0000000E+000, 2.8655839E+002, 3.9000000E+001, 4.4031561E-009, 5.0265285E-001
 1.5938273E-001, 5.6423933E-002, 0.0000000E+000, 1.0000000E+000, 2.9378020E+002, 3.9000000E+001, 6.1266658E-009, 5.0686044E-001
 1.6120804E-001, 5.6390465E-002, 0.0000000E+000, 1.0000000E+000, 3.0108775E+002, 3.9000000E+001, 6.3447010E-009, 5.0724833E-001
 1.6303336E-001, 5.6356652E-002, 0.0000000E+000, 1.0000000E+000, 3.0802943E+002, 3.9000000E+001, 7.1288210E-009, 5.0870002E-001
 1.6467177E-001, 5.6332858E-002, 0.0000000E+000, 1.0000000E+000, 3.1268306E+002, 3.9000000E+001, 6.0138440E-009, 5.0783601E-001
 1.6631019E-001, 5.6302000E-002, 0.0000000E+000, 1.0000000E+000, 3.1345915E+002, 3.9000000E+001, 5.1951654E-009, 5.0586868E-001
 1.6794861E-001, 5.6270866E-002, 0.0000000E+000, 1.0000000E+000, 3.1430363E+002, 3.9000000E+001, 4.7266463E-009, 5.0458581E-001
 1.6958703E-001, 5.6239455E-002, 0.0000000E+000, 1.0000000E+000, 3.1662205E+002, 3.9000000E+001, 4.4971970E-009, 5.0388384E-001
