s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 1.7451460E-001, 5.6128105E-002, 9.9119645E-006, 4.0000000E+000, 4.1810933E+002
 1.7615310E-001, 5.6103286E-002, 9.9918973E-006, 1.8000000E+001, 4.2012722E+002
 1.7779160E-001, 5.6062963E-002, 9.9183309E-006, 4.0000000E+000, 4.2152584E+002
 1.7943010E-001, 5.6040112E-002, 9.9640365E-006, 2.1000000E+001, 4.2397091E+002
 1.8106859E-001, 5.5999678E-002, 9.9014722E-006, 4.0000000E+000, 4.2525429E+002
 1.8270709E-001, 5.5978672E-002, 9.9887391E-006, 2.1000000E+001, 4.2808761E+002
 1.8434559E-001, 5.5938562E-002, 9.9592367E-006, 4.0000000E+000, 4.2926806E+002
 1.8581797E-001, 5.5930128E-002, 9.9754846E-006, 2.0000000E+001, 4.3231298E+002
 1.8729036E-001, 5.5887643E-002, 9.8628851E-006, 3.0000000E+000, 4.3381334E+002
 1.8876275E-001, 5.5866919E-002, 9.9942127E-006, 1.6000000E+001, 4.3601668E+002
 1.9023514E-001, 5.5826179E-002, 9.9584235E-006, 3.0000000E+000, 4.3740722E+002
 1.9170752E-001, 5.5805290E-002, 9.9892479E-006, 1.8000000E+001, 4.3945449E+002
 1.9317991E-001, 5.5759019E-002, 9.9845213E-006, 3.0000000E+000, 4.4057503E+002
 1.9465230E-001, 5.5735035E-002, 9.9596950E-006, 1.7000000E+001, 4.4290511E+002
 1.9612469E-001, 5.5690244E-002, 9.8733298E-006, 4.0000000E+000, 4.4393975E+002
 1.9759707E-001, 5.5665069E-002, 9.9886645E-006, 1.5000000E+001, 4.4607848E+002
 1.9906946E-001, 5.5624059E-002, 9.9442255E-006, 4.0000000E+000, 4.4725304E+002
 2.0054185E-001, 5.5600245E-002, 9.9970163E-006, 1.8000000E+001, 4.4973098E+002
 2.0201424E-001, 5.5557870E-002, 9.9107466E-006, 4.0000000E+000, 4.5123153E+002
 2.0348662E-001, 5.5534858E-002, 9.9811803E-006, 1.8000000E+001, 4.5308532E+002
 2.0495901E-001, 5.5493485E-002, 9.9071171E-006, 4.0000000E+000, 4.5480611E+002
 2.0643140E-001, 5.5471502E-002, 9.9670874E-006, 1.9000000E+001, 4.5694716E+002
 2.0790379E-001, 5.5428923E-002, 9.8965649E-006, 4.0000000E+000, 4.5853118E+002
 2.0937617E-001, 5.5403611E-002, 9.9684659E-006, 1.9000000E+001, 4.6041207E+002
 2.1070086E-001, 5.5370054E-002, 9.8753756E-006, 3.0000000E+000, 4.6205706E+002
 2.1202554E-001, 5.5350471E-002, 9.9812843E-006, 1.5000000E+001, 4.6373476E+002
 2.1335022E-001, 5.5311278E-002, 9.8781071E-006, 3.0000000E+000, 4.6488442E+002
 2.1467491E-001, 5.5288596E-002, 9.9801424E-006, 1.6000000E+001, 4.6694365E+002
 2.1599959E-001, 5.5246170E-002, 9.8756290E-006, 3.0000000E+000, 4.6809951E+002
