s,C,g/g,1/s
Time,Temp,Mass,MLR
954,182.01411,0.9728174,3.98E-06
960,183.01411,0.9727776,6.63E-06
966,184.01411,0.972692,1.43E-05
972,185.01411,0.9726572,5.80E-06
978,186.01411,0.9726154,6.97E-06
984,187.01411,0.9725459,1.16E-05
990,188.01411,0.9724946,8.55E-06
996,189.01411,0.972456,6.43E-06
1002,190.01411,0.9724024,8.93E-06
1008,191.01411,0.9723407,1.03E-05
1014,192.01411,0.9722827,9.67E-06
1020,193.01411,0.9721977,1.42E-05
1026,194.01411,0.9721324,1.09E-05
1032,195.01411,0.9720815,8.48E-06
1038,196.01411,0.9720404,6.85E-06
1044,197.01411,0.9719539,1.44E-05
1050,198.01411,0.9718538,1.67E-05
1056,199.01411,0.9717894,1.07E-05
1062,200.01411,0.9717115,1.30E-05
1068,201.01411,0.9716557,9.30E-06
1074,202.01411,0.9715401,1.93E-05
1080,203.01411,0.9714326,1.79E-05
1086,204.01411,0.9713474,1.42E-05
1092,205.01411,0.9712399,1.79E-05
1098,206.01411,0.9711318,1.80E-05
1104,207.01411,0.9710322,1.66E-05
1110,208.01411,0.9709119,2.00E-05
1116,209.01411,0.9708008,1.85E-05
1122,210.01411,0.9706855,1.92E-05
1128,211.01411,0.9705762,1.82E-05
1134,212.01411,0.9704191,2.62E-05
1140,213.01411,0.9703212,1.63E-05
1146,214.01411,0.9702177,1.73E-05
1152,215.01411,0.9700519,2.76E-05
1158,216.01411,0.9699333,1.98E-05
1164,217.01411,0.969798,2.26E-05
1170,218.01411,0.9696282,2.83E-05
1176,219.01411,0.9694372,3.18E-05
1182,220.01411,0.9692931,2.40E-05
1188,221.01411,0.9691553,2.30E-05
1194,222.01411,0.9690008,2.58E-05
1200,223.01411,0.9687939,3.45E-05
1206,224.01411,0.9686307,2.72E-05
1212,225.01411,0.9684349,3.26E-05
1218,226.01411,0.9681802,4.24E-05
1224,227.01411,0.9679542,3.77E-05
1230,228.01411,0.967713,4.02E-05
1236,229.01411,0.9675335,2.99E-05
1242,230.01411,0.9672683,4.42E-05
1248,231.01411,0.9669966,4.53E-05
1254,232.01411,0.9667624,3.90E-05
1260,233.01411,0.966442,5.34E-05
1266,234.01411,0.9661118,5.50E-05
1272,235.01411,0.9658216,4.84E-05
1278,236.01411,0.9654919,5.50E-05
1284,237.01411,0.9651125,6.32E-05
1290,238.01411,0.9647369,6.26E-05
1296,239.01411,0.9643841,5.88E-05
1302,240.01411,0.963932,7.54E-05
1308,241.01411,0.9634231,8.48E-05
1314,242.01411,0.9629486,7.91E-05
1320,243.01411,0.9624875,7.68E-05
1326,244.01411,0.9619676,8.67E-05
1332,245.01411,0.9614007,9.45E-05
1338,246.01411,0.9608023,9.97E-05
1344,247.01411,0.9602173,9.75E-05
1350,248.01411,0.9595734,1.07E-04
1356,249.01411,0.9589238,1.08E-04
1362,250.01411,0.9582526,1.12E-04
1368,251.01411,0.9575585,1.16E-04
1374,252.01411,0.9568059,1.25E-04
1380,253.01411,0.9560239,1.30E-04
1386,254.01411,0.9551687,1.43E-04
1392,255.01411,0.9543187,1.42E-04
1398,256.01411,0.9533769,1.57E-04
1404,257.01411,0.9522801,1.83E-04
1410,258.01411,0.9513321,1.58E-04
1416,259.01411,0.9502806,1.75E-04
1422,260.01411,0.9490536,2.04E-04
1428,261.01411,0.9479057,1.91E-04
1434,262.01411,0.9467341,1.95E-04
1440,263.01411,0.9452792,2.42E-04
1446,264.01411,0.9439764,2.17E-04
1452,265.01411,0.9423989,2.63E-04
1458,266.01411,0.9408241,2.62E-04
1464,267.01411,0.9391499,2.79E-04
1470,268.01411,0.9374224,2.88E-04
1476,269.01411,0.9355362,3.14E-04
1482,270.01411,0.9335215,3.36E-04
1488,271.01411,0.9314614,3.43E-04
1494,272.01411,0.9292371,3.71E-04
1500,273.01411,0.9270184,3.70E-04
1506,274.01411,0.9245736,4.07E-04
1512,275.01411,0.9220069,4.28E-04
1518,276.01411,0.9192898,4.53E-04
1524,277.01411,0.9164495,4.73E-04
1530,278.01411,0.9135416,4.85E-04
1536,279.01411,0.9104558,5.14E-04
1542,280.01411,0.9058374,7.70E-04
1548,281.01411,0.9031012,4.56E-04
1554,282.01411,0.8989282,6.95E-04
1560,283.01411,0.896084,4.74E-04
1566,284.01411,0.8933415,4.57E-04
1572,285.01411,0.8881821,8.60E-04
1578,286.01411,0.8852434,4.90E-04
1584,287.01411,0.879688,9.26E-04
1590,288.01411,0.8764735,5.36E-04
1596,289.01411,0.8714347,8.40E-04
1602,290.01411,0.8679023,5.89E-04
1608,291.01411,0.8622879,9.36E-04
1614,292.01411,0.8583525,6.56E-04
1620,293.01411,0.8547705,5.97E-04
1626,294.01411,0.8488185,9.92E-04
1632,295.01411,0.8438457,8.29E-04
1638,296.01411,0.8393925,7.42E-04
1644,297.01411,0.8356944,6.16E-04
1650,298.01411,0.8313649,7.22E-04
1656,299.01411,0.8264537,8.19E-04
1662,300.01411,0.8202382,1.04E-03
1668,301.01411,0.8159246,7.19E-04
1674,302.01411,0.8122023,6.20E-04
1680,303.01411,0.8057786,1.07E-03
1686,304.01411,0.8013552,7.37E-04
1692,305.01411,0.7965164,8.06E-04
1698,306.01411,0.7929168,6.00E-04
1704,307.01411,0.7865568,1.06E-03
1710,308.01411,0.7826332,6.54E-04
1716,309.01411,0.7787099,6.54E-04
1722,310.01411,0.7730017,9.51E-04
1728,311.01411,0.769311,6.15E-04
1734,312.01411,0.7626643,1.11E-03
1740,313.01411,0.7576228,8.40E-04
1746,314.01411,0.7540106,6.02E-04
1752,315.01411,0.7503876,6.04E-04
1758,316.01411,0.7445243,9.77E-04
1764,317.01411,0.7387087,9.69E-04
1770,318.01411,0.7348888,6.37E-04
1776,319.01411,0.728524,1.06E-03
1782,320.01411,0.7239775,7.58E-04
1788,321.01411,0.7187883,8.65E-04
1794,322.01411,0.7143025,7.48E-04
1800,323.01411,0.7096834,7.70E-04
1806,324.01411,0.7058031,6.47E-04
1812,325.01411,0.6993864,1.07E-03
1818,326.01411,0.6953209,6.78E-04
1824,327.01411,0.691177,6.91E-04
1830,328.01411,0.6846584,1.09E-03
1836,329.01411,0.6794997,8.60E-04
1842,330.01411,0.6744323,8.45E-04
1848,331.01411,0.669767,7.78E-04
1854,332.01411,0.6648177,8.25E-04
1860,333.01411,0.6596495,8.61E-04
1866,334.01411,0.6547161,8.22E-04
1872,335.01411,0.6504681,7.08E-04
1878,336.01411,0.6467198,6.25E-04
1884,337.01411,0.6402045,1.09E-03
1890,338.01411,0.6361283,6.79E-04
1896,339.01411,0.6302631,9.78E-04
1902,340.01411,0.6264018,6.44E-04
1908,341.01411,0.6194299,1.16E-03
1914,342.01411,0.6143712,8.43E-04
1920,343.01411,0.6092112,8.60E-04
1926,344.01411,0.6051407,6.78E-04
1932,345.01411,0.5982744,1.14E-03
1938,346.01411,0.5927204,9.26E-04
1944,347.01411,0.5870262,9.49E-04
1950,348.01411,0.5810772,9.92E-04
1956,349.01411,0.5753809,9.49E-04
1962,350.01411,0.568906,1.08E-03
1968,351.01411,0.5628519,1.01E-03
1974,352.01411,0.5560906,1.13E-03
1980,353.01411,0.5494829,1.10E-03
1986,354.01411,0.5424849,1.17E-03
1992,355.01411,0.5349129,1.26E-03
1998,356.01411,0.5269426,1.33E-03
2004,357.01411,0.5184275,1.42E-03
2010,358.01411,0.5097859,1.44E-03
2016,359.01411,0.5014379,1.39E-03
2022,360.01411,0.49166,1.63E-03
2028,361.01411,0.481887,1.63E-03
2034,362.01411,0.4720218,1.64E-03
2040,363.01411,0.4611947,1.80E-03
2046,364.01411,0.4501457,1.84E-03
2052,365.01411,0.4391334,1.84E-03
2058,366.01411,0.4273603,1.96E-03
2064,367.01411,0.4153971,1.99E-03
2070,368.01411,0.4037104,1.95E-03
2076,369.01411,0.3913151,2.07E-03
2082,370.01411,0.3792182,2.02E-03
2088,371.01411,0.3670433,2.03E-03
2094,372.01411,0.3551441,1.98E-03
2100,373.01411,0.3435081,1.94E-03
2106,374.01411,0.3322823,1.87E-03
2112,375.01411,0.3217207,1.76E-03
2118,376.01411,0.3115957,1.69E-03
2124,377.01411,0.3019677,1.60E-03
2130,378.01411,0.2938708,1.35E-03
2136,379.01411,0.2857821,1.35E-03
2142,380.01411,0.2785642,1.20E-03
2148,381.01411,0.2732071,8.93E-04
2154,382.01411,0.2686832,7.54E-04
2160,383.01411,0.2633732,8.85E-04
2166,384.01411,0.260239,5.22E-04
2172,385.01411,0.2560698,6.95E-04
2178,386.01411,0.2540229,3.41E-04
2184,387.01411,0.2522706,2.92E-04
2190,388.01411,0.2503344,3.23E-04
2196,389.01411,0.2486496,2.81E-04
2202,390.01411,0.2474006,2.08E-04
2208,391.01411,0.2462927,1.85E-04
2214,392.01411,0.2451868,1.84E-04
2220,393.01411,0.2441908,1.66E-04
2226,394.01411,0.2434357,1.26E-04
2232,395.01411,0.2426247,1.35E-04
2238,396.01411,0.2418481,1.29E-04
2244,397.01411,0.2410534,1.32E-04
2250,398.01411,0.240301,1.25E-04
2256,399.01411,0.2396521,1.08E-04
2262,400.01411,0.2389327,1.20E-04
2268,401.01411,0.2382094,1.21E-04
2274,402.01411,0.2374306,1.30E-04
2280,403.01411,0.2368064,1.04E-04
2286,404.01411,0.2361512,1.09E-04
2292,405.01411,0.2354503,1.17E-04
2298,406.01411,0.2348145,1.06E-04
2304,407.01411,0.2341364,1.13E-04
2310,408.01411,0.233453,1.14E-04
2316,409.01411,0.2327596,1.16E-04
2322,410.01411,0.2321765,9.72E-05
2328,411.01411,0.231467,1.18E-04
2334,412.01411,0.2308266,1.07E-04
2340,413.01411,0.2301924,1.06E-04
2346,414.01411,0.2295019,1.15E-04
2352,415.01411,0.2288599,1.07E-04
2358,416.01411,0.2282068,1.09E-04
2364,417.01411,0.2275431,1.11E-04
2370,418.01411,0.2269202,1.04E-04
2376,419.01411,0.2262576,1.10E-04
2382,420.01411,0.2256364,1.04E-04
2388,421.01411,0.2249873,1.08E-04
2394,422.01411,0.2243484,1.06E-04
2400,423.01411,0.2237856,9.38E-05
2406,424.01411,0.2231158,1.12E-04
2412,425.01411,0.2224598,1.09E-04
2418,426.01411,0.2218383,1.04E-04
2424,427.01411,0.2212435,9.91E-05
2430,428.01411,0.2206454,9.97E-05
2436,429.01411,0.22002,1.04E-04
2442,430.01411,0.2194446,9.59E-05
2448,431.01411,0.2188439,1.00E-04
2454,432.01411,0.2182367,1.01E-04
2460,433.01411,0.2177273,8.49E-05
2466,434.01411,0.217169,9.30E-05
2472,435.01411,0.2165898,9.65E-05
2478,436.01411,0.2160205,9.49E-05
2484,437.01411,0.2154425,9.63E-05
2490,438.01411,0.2149115,8.85E-05
2496,439.01411,0.214359,9.21E-05
2502,440.01411,0.2138261,8.88E-05
2508,441.01411,0.2133202,8.43E-05
2514,442.01411,0.212812,8.47E-05
2520,443.01411,0.2123156,8.27E-05
2526,444.01411,0.2118155,8.34E-05
