s,C,g/g,1/s
Time,Temp,Mass,MLR
4032,695.01411,0.1665507,6.50E-07
4038,696.01411,0.1664823,1.14E-05
4044,697.01411,0.1663988,1.39E-05
4050,698.01411,0.1663434,9.23E-06
4056,699.01411,0.1663004,7.17E-06
4062,700.01411,0.166258,7.07E-06
4068,701.01411,0.1662564,2.67E-07
4074,702.01411,0.1662027,8.95E-06
4080,703.01411,0.1661006,1.70E-05
4086,704.01411,0.1659714,2.15E-05
4092,705.01411,0.1659319,6.58E-06
4098,706.01411,0.1658874,7.42E-06
4104,707.01411,0.1658412,7.70E-06
4110,708.01411,0.1657892,8.67E-06
4116,709.01411,0.1657978,-1.43E-06
4122,710.01411,0.165758,6.63E-06
4128,711.01411,0.1657397,3.05E-06
4134,712.01411,0.165676,1.06E-05
4140,713.01411,0.1656239,8.68E-06
4146,714.01411,0.1655607,1.05E-05
4152,715.01411,0.1655022,9.75E-06
4158,716.01411,0.1654513,8.48E-06
4164,717.01411,0.1653624,1.48E-05
4170,718.01411,0.1652761,1.44E-05
4176,719.01411,0.1651275,2.48E-05
4182,720.01411,0.1651665,-6.50E-06
4188,721.01411,0.1651341,5.40E-06
4194,722.01411,0.1650461,1.47E-05
4200,723.01411,0.1649556,1.51E-05
4206,724.01411,0.1649472,1.40E-06
4212,725.01411,0.1648578,1.49E-05
4218,726.01411,0.1647951,1.04E-05
4224,727.01411,0.1646837,1.86E-05
4230,728.01411,0.1646681,2.60E-06
4236,729.01411,0.1646525,2.60E-06
4242,730.01411,0.1645463,1.77E-05
4248,731.01411,0.1645196,4.45E-06
4254,732.01411,0.1644428,1.28E-05
4260,733.01411,0.1644257,2.85E-06
4266,734.01411,0.1643881,6.27E-06
4272,735.01411,0.1644046,-2.75E-06
4278,736.01411,0.1643774,4.53E-06
4284,737.01411,0.1643169,1.01E-05
4290,738.01411,0.1641999,1.95E-05
4296,739.01411,0.1641555,7.40E-06
4302,740.01411,0.1640227,2.21E-05
4308,741.01411,0.1638478,2.92E-05
4314,742.01411,0.1638597,-1.98E-06
4320,743.01411,0.1638422,2.92E-06
4326,744.01411,0.1637157,2.11E-05
4332,745.01411,0.1636837,5.33E-06
4338,746.01411,0.1636442,6.58E-06
4344,747.01411,0.163581,1.05E-05
4350,748.01411,0.1635334,7.93E-06
4356,749.01411,0.1634943,6.52E-06
4362,750.01411,0.1634078,1.44E-05
4368,751.01411,0.1633766,5.20E-06
4374,752.01411,0.1633454,5.20E-06
4380,753.01411,0.1632732,1.20E-05
4386,754.01411,0.1632115,1.03E-05
4392,755.01411,0.1631899,3.60E-06
4398,756.01411,0.1631305,9.90E-06
4404,757.01411,0.1630883,7.03E-06
4410,758.01411,0.1630082,1.33E-05
4416,759.01411,0.1629655,7.12E-06
4422,760.01411,0.1629222,7.22E-06
4428,761.01411,0.1628847,6.25E-06
4434,762.01411,0.1628622,3.75E-06
4440,763.01411,0.162787,1.25E-05
4446,764.01411,0.1627069,1.34E-05
4452,765.01411,0.1626767,5.03E-06
4458,766.01411,0.1626433,5.57E-06
4464,767.01411,0.1625631,1.34E-05
4470,768.01411,0.162536,4.52E-06
4476,769.01411,0.1625002,5.97E-06
4482,770.01411,0.1624474,8.80E-06
4488,771.01411,0.1624114,6.00E-06
4494,772.01411,0.1623399,1.19E-05
4500,773.01411,0.1622841,9.30E-06
4506,774.01411,0.1622523,5.30E-06
4512,775.01411,0.162197,9.22E-06
4518,776.01411,0.1620949,1.70E-05
4524,777.01411,0.162025,1.16E-05
4530,778.01411,0.1619612,1.06E-05
4536,779.01411,0.1619229,6.38E-06
4542,780.01411,0.1618936,4.88E-06
4548,781.01411,0.1618604,5.53E-06
4554,782.01411,0.1617779,1.37E-05
4560,783.01411,0.1617124,1.09E-05
4566,784.01411,0.1617167,-7.17E-07
4572,785.01411,0.1617363,-3.27E-06
4578,786.01411,0.1616767,9.93E-06
4584,787.01411,0.1615926,1.40E-05
4590,788.01411,0.1615354,9.53E-06
4596,789.01411,0.1614707,1.08E-05
4602,790.01411,0.1614704,5.00E-08
4608,791.01411,0.1614475,3.82E-06
4614,792.01411,0.1613757,1.20E-05
4620,793.01411,0.1613185,9.53E-06
4626,794.01411,0.1612835,5.83E-06
4632,795.01411,0.1612346,8.15E-06
4638,796.01411,0.1611853,8.22E-06
4644,797.01411,0.1611616,3.95E-06
