Time1,OH1,TMP1
3.096922856376907e-13,2.831143776479112e-25,1199.999999999998
3.097232548662545e-09,2.8127964576387836e-17,1199.9999999791887
3.406646111243162e-08,2.1044316274720016e-15,1199.9999997710956
6.503568967620069e-08,6.47108237233435e-15,1199.9999995630026
1.1749505825653596e-07,1.9156574254999387e-14,1199.9999992105118
2.0173613256825471e-07,5.187555245965041e-14,1199.9999986444807
2.859772068799734e-07,9.78895777998924e-14,1199.9999980784705
4.2506054853961525e-07,1.9684327504771144e-13,1199.9999971440434
5.641438901992571e-07,3.173427718842062e-13,1199.999996209721
7.032272318588989e-07,4.5186450293200795e-13,1199.9999952755247
8.423105735185407e-07,5.944011534089268e-13,1199.999994341471
9.813939151781826e-07,7.405441013353834e-13,1199.9999934075713
1.1204772568378244e-06,8.871365534747356e-13,1199.9999924738324
1.3462288470153062e-06,1.1206574504930985e-12,1199.9999909585927
1.571980437192788e-06,1.3432996171026037e-12,1199.9999894437856
1.7977320273702696e-06,1.5516221601435778e-12,1199.9999879294053
2.1723815363934367e-06,1.8626580272160392e-12,1199.9999854171015
2.5470310454166036e-06,2.1324711341602045e-12,1199.999982905859
2.9216805544397705e-06,2.3671349539446182e-12,1199.9999803956086
3.2963300634629374e-06,2.572979360800107e-12,1199.9999778862787
3.6709795724861043e-06,2.75553315550206e-12,1199.9999753778068
4.0456290815092716e-06,2.9197599459448214e-12,1199.9999728701493
4.4202785905324385e-06,3.070102793608137e-12,1199.9999703632766
4.794928099555605e-06,3.2102631837369938e-12,1199.9999678571662
5.169577608578772e-06,3.343079465567256e-12,1199.9999653517991
5.544227117601939e-06,3.470629103376542e-12,1199.9999628471605
6.195376257763368e-06,3.684249941154101e-12,1199.999958495745
6.846525397924797e-06,3.891900470589726e-12,1199.9999541464642
7.497674538086225e-06,4.096437023481453e-12,1199.9999497992974
8.148823678247655e-06,4.299539617070616e-12,1199.9999454542371
8.799972818409084e-06,4.502282873355097e-12,1199.9999411112815
9.451121958570513e-06,4.705301831271376e-12,1199.9999367704293
1.0516572180178992e-05,5.0387226473690184e-12,1199.9999296721944
1.2609755027948045e-05,5.699420449214658e-12,1199.9999157434077
1.4702937875717097e-05,6.368904794391375e-12,1199.999901836391
1.679612072348615e-05,7.047099444533052e-12,1199.9998879512173
1.8889303571255202e-05,7.733578653277705e-12,1199.999874087926
2.0982486419024254e-05,8.428230295245193e-12,1199.9998602465707
2.3075669266793307e-05,9.131102789605977e-12,1199.9998464272182
2.516885211456236e-05,9.84221533613266e-12,1199.9998326299353
2.903172254477905e-05,1.1176012134125123e-11,1199.9998072258634
3.289459297499574e-05,1.2537410644506092e-11,1199.999781897599
3.675746340521243e-05,1.3926098622100591e-11,1199.9997566455747
4.062033383542912e-05,1.534178435485249e-11,1199.9997314702423
4.4483204265645814e-05,1.6784193872434665e-11,1199.9997063720734
4.8346074695862506e-05,1.8253057807146633e-11,1199.9996813515584
5.446554072574497e-05,2.0633496463675025e-11,1199.9996418748608
6.058500675562743e-05,2.3078624457179406e-11,1199.9996025964217
6.67044727855099e-05,2.5587443254039438e-11,1199.9995635184393
7.282393881539236e-05,2.81589900241349e-11,1199.9995246432195
7.894340484527482e-05,3.0792335565407205e-11,1199.9994859731705
8.506287087515729e-05,3.348658145200743e-11,1199.9994475107974
9.118233690503975e-05,3.6240859036985566e-11,1199.9994092586985
0.00010156504087011988,4.104893592902508e-11,1199.9993448462442
0.0001119477448352,4.602351016483297e-11,1199.9992810606307
0.00012233044880028015,5.116089528873247e-11,1199.9992179163341
0.00013271315276536027,5.6457617063107476e-11,1199.9991554285384
0.00014954599973764155,6.5375106494695e-11,1199.9990555567722
0.00016637884670992284,7.46899408730875e-11,1199.9989575237528
0.00018321169368220412,8.439040869187369e-11,1199.9988614050978
0.0002000445406544854,9.446588422271423e-11,1199.9987672805335
0.00021687738762676668,1.0490671846183979e-10,1199.9986752336763
0.00023371023459904796,1.1570415585619614e-10,1199.998585351864
0.00025054308157132927,1.268502588095355e-10,1199.9984977259996
0.0002673759285436106,1.3833782854398142e-10,1199.9984124503903
0.0002842087755158919,1.5016032802599093e-10,1199.9983296225885
0.0003010416224881732,1.6231181376253742e-10,1199.99824934325
0.0003178744694604545,1.7478687587557364e-10,1199.998171716009
0.0003347073164327358,1.8758058250194005e-10,1199.9980968473606
0.0003515401634050171,2.0068842660505909e-10,1199.998024846548
0.00036837301037729843,2.1410627598102762e-10,1199.9979558254554
0.00038520585734957974,2.2783032751528794e-10,1199.9978898985066
0.00040203870432186105,2.4185706537868156e-10,1199.997827182572
0.00041887155129414236,2.5618322214345607e-10,1199.9977677968793
0.00043570439826642367,2.708057423121346e-10,1199.9977118629276
0.000452537245238705,2.8572174834181566e-10,1199.9976595044056
0.0004693700922109863,3.009285092242947e-10,1199.9976108471117
0.0004862029391832676,3.1642341139982206e-10,1199.997566018878
0.0005030357861555488,3.3220393169710266e-10,1199.9975251494966
0.0005198686331278302,3.482676121162437e-10,1199.9974883706466
0.000545475261162077,3.7324174181998035e-10,1199.9974405669082
0.0005710818891963239,3.9885711794208005e-10,1199.997403016209
0.0005966885172305707,4.251052472121694e-10,1199.9973762049347
0.0006222951452648176,4.5197743657338626e-10,1199.9973606276808
0.0006479017732990644,4.794646724558337e-10,1199.997356786686
0.0006735084013333113,5.075575057098101e-10,1199.9973651912517
0.0006991150293675581,5.362459493222271e-10,1199.997386357153
0.000724721657401805,5.65519392013308e-10,1199.9974208060328
0.0007503282854360518,5.95366524483734e-10,1199.9974690647807
