s,m/s,,s
Time,error,iter,cputime
 2.3714778E+000, 1.2752146E-003, 1.4175000E+003, 9.0181916E+002
 2.4063343E+000, 1.8882792E-003, 1.7543333E+003, 9.1938583E+002
 2.4307339E+000, 1.6725645E-003, 1.1847619E+003, 9.3617978E+002
 2.4690761E+000, 2.2488300E-003, 1.7320000E+003, 9.5385269E+002
 2.4946375E+000, 2.3092689E-003, 1.1235000E+003, 9.6782840E+002
 2.5201990E+000, 9.9755176E-004, 3.6900000E+002, 9.7689930E+002
 2.5585412E+000, 1.4067740E-003, 1.3813333E+003, 9.8559463E+002
 2.5812123E+000, 9.9888866E-004, 3.0700000E+002, 1.0008898E+003
 2.6152191E+000, 1.4874130E-003, 2.0000000E+003, 1.0143110E+003
 2.6492258E+000, 1.0470116E-003, 1.3676667E+003, 1.0345764E+003
 2.6741641E+000, 9.9983498E-004, 1.1025000E+003, 1.0465422E+003
 2.7115714E+000, 1.0081039E-003, 7.0133333E+002, 1.0527826E+003
 2.7365097E+000, 1.3062546E-003, 1.2775000E+003, 1.0566884E+003
 2.7614480E+000, 1.1940861E-003, 1.0770000E+003, 1.0634570E+003
 2.7988554E+000, 1.0849560E-003, 1.1233333E+003, 1.0712628E+003
 2.8237936E+000, 1.6194288E-003, 2.0000000E+003, 1.0825341E+003
 2.8612010E+000, 1.9798999E-003, 1.8433333E+003, 1.0995897E+003
 2.8861393E+000, 1.3253528E-003, 1.0785000E+003, 1.1174915E+003
 2.9110776E+000, 2.4796004E-003, 1.0795000E+003, 1.1232061E+003
 2.9484850E+000, 1.1711160E-003, 1.7643333E+003, 1.1407124E+003
 2.9734232E+000, 1.7690177E-003, 1.0800000E+003, 1.1558643E+003
 3.0108306E+000, 1.0719919E-003, 1.4810000E+003, 1.1693579E+003
 3.0357689E+000, 1.4725652E-003, 2.0000000E+003, 1.1868522E+003
 3.0607071E+000, 1.2363639E-003, 1.6700000E+003, 1.1990637E+003
 3.0981145E+000, 1.9421037E-003, 2.0000000E+003, 1.2168463E+003
 3.1230528E+000, 9.9986618E-004, 2.5100000E+002, 1.2269694E+003
 3.1579505E+000, 1.1474990E-003, 1.3364183E+003, 1.2382649E+003
 3.1803790E+000, 1.4092380E-003, 1.5310000E+003, 1.2514756E+003
 3.2140217E+000, 1.0539099E-003, 8.3133333E+002, 1.2629000E+003
