s,m/s,,s
Time,error,iter,cputime
 2.3804931E+000, 5.9211895E-015, 7.6666667E+000, 1.5363164E+002
 2.4066870E+000, 3.1086245E-015, 7.0000000E+000, 1.5739633E+002
 2.4328808E+000, 1.4210855E-014, 6.0000000E+000, 1.6016664E+002
 2.4721716E+000, 8.2896653E-015, 7.0000000E+000, 1.6384625E+002
 2.4983654E+000, 8.4376950E-015, 7.0000000E+000, 1.6741632E+002
 2.5245593E+000, 8.8817842E-015, 7.5000000E+000, 1.7029056E+002
 2.5507531E+000, 6.6613381E-015, 6.5000000E+000, 1.7315784E+002
 2.5900439E+000, 5.3290705E-015, 6.6666667E+000, 1.7653835E+002
 2.6162377E+000, 3.5527137E-015, 5.5000000E+000, 1.7971104E+002
 2.6424316E+000, 5.3290705E-015, 6.0000000E+000, 1.8235659E+002
 2.6817224E+000, 8.8817842E-015, 7.0000000E+000, 1.8586667E+002
 2.7079162E+000, 3.1086245E-015, 6.5000000E+000, 1.8939367E+002
 2.7341100E+000, 8.8817842E-015, 7.5000000E+000, 1.9231430E+002
 2.7603039E+000, 3.9968029E-015, 6.0000000E+000, 1.9508034E+002
 2.7995947E+000, 3.8487732E-015, 6.0000000E+000, 1.9863570E+002
 2.8257885E+000, 8.8817842E-015, 7.0000000E+000, 2.0233772E+002
 2.8504848E+000, 1.0039247E-014, 6.4696813E+000, 2.0523237E+002
 2.8852830E+000, 5.0330110E-015, 6.3333333E+000, 2.0895126E+002
 2.9200813E+000, 2.9605947E-015, 6.3333333E+000, 2.1335998E+002
 2.9432801E+000, 4.4408921E-015, 6.0000000E+000, 2.1674323E+002
 2.9780783E+000, 4.4408921E-015, 6.6666667E+000, 2.2013374E+002
 3.0012771E+000, 3.5527137E-015, 7.0000000E+000, 2.2357101E+002
 3.0360753E+000, 6.2172489E-015, 5.6666667E+000, 2.2715708E+002
 3.0708735E+000, 5.9211895E-015, 5.3333333E+000, 2.3086184E+002
 3.0940723E+000, 6.2172489E-015, 6.5000000E+000, 2.3411068E+002
 3.1288705E+000, 4.7369516E-015, 5.6666667E+000, 2.3754414E+002
 3.1520693E+000, 3.9968029E-015, 6.5000000E+000, 2.4119754E+002
 3.1868675E+000, 4.7369516E-015, 6.3333333E+000, 2.4496196E+002
 3.2100663E+000, 2.6645353E-015, 6.5000000E+000, 2.4822953E+002
 3.2448645E+000, 4.7369516E-015, 6.3333333E+000, 2.5149155E+002
 3.2796627E+000, 6.8093679E-015, 6.6666667E+000, 2.5499851E+002
 3.3028616E+000, 4.4408921E-015, 4.5000000E+000, 2.5776972E+002
 3.3376598E+000, 4.4408921E-015, 6.3333333E+000, 2.6136969E+002
 3.3608586E+000, 5.3290705E-015, 6.5000000E+000, 2.6496558E+002
 3.3956568E+000, 3.5527137E-015, 6.6666667E+000, 2.6838751E+002
 3.4304550E+000, 5.3290705E-015, 6.3333333E+000, 2.7287180E+002
 3.4536538E+000, 7.9936058E-015, 6.0000000E+000, 2.7625933E+002
 3.4884520E+000, 4.1448326E-015, 6.0000000E+000, 2.7942946E+002
 3.5116508E+000, 3.1086245E-015, 4.0000000E+000, 2.8197406E+002
 3.5464490E+000, 4.4408921E-015, 5.6666667E+000, 2.8511815E+002
 3.5812472E+000, 7.1054274E-015, 5.0000000E+000, 2.8854818E+002
 3.6044460E+000, 8.8817842E-015, 5.5000000E+000, 2.9154107E+002
 3.6392442E+000, 1.6283271E-014, 4.3333333E+000, 2.9434450E+002
 3.6624431E+000, 1.9539925E-014, 4.0000000E+000, 2.9670331E+002
 3.6972413E+000, 3.6119256E-014, 6.3333333E+000, 2.9999409E+002
 3.7204401E+000, 2.6645353E-014, 5.5000000E+000, 3.0337360E+002
 3.7552383E+000, 2.7533531E-014, 5.6666667E+000, 3.0653719E+002
 3.7900365E+000, 2.3684758E-014, 5.6666667E+000, 3.1044321E+002
 3.8132353E+000, 2.8421709E-014, 4.0000000E+000, 3.1331531E+002
 3.8480335E+000, 3.5527137E-014, 6.0000000E+000, 3.1620400E+002
 3.8712323E+000, 4.0856207E-014, 6.0000000E+000, 3.1946503E+002
 3.9060305E+000, 3.4935018E-014, 4.6666667E+000, 3.2238303E+002
 3.9408287E+000, 4.6185278E-014, 4.6666667E+000, 3.2626486E+002
 3.9640275E+000, 3.1086245E-014, 6.0000000E+000, 3.2911594E+002
 3.9988257E+000, 2.3684758E-014, 5.6666667E+000, 3.3199350E+002
 4.0220245E+000, 1.8651747E-014, 5.0000000E+000, 3.3496433E+002
 4.0568228E+000, 1.9539925E-014, 5.3333333E+000, 3.3821832E+002
 4.0800216E+000, 2.5757174E-014, 6.0000000E+000, 3.4126714E+002
 4.1148198E+000, 2.0724163E-014, 5.3333333E+000, 3.4416782E+002
 4.1496180E+000, 2.5165055E-014, 6.0000000E+000, 3.4782453E+002
 4.1728168E+000, 3.5527137E-014, 7.0000000E+000, 3.5078070E+002
 4.2076150E+000, 6.9573976E-014, 8.0000000E+000, 3.5459293E+002
 4.2308138E+000, 2.9753977E-014, 8.0000000E+000, 3.5867052E+002
 4.2656120E+000, 3.0494126E-014, 7.0000000E+000, 3.6233009E+002
 4.3004102E+000, 2.3388698E-014, 6.6666667E+000, 3.6654793E+002
 4.3236090E+000, 3.1974423E-014, 7.0000000E+000, 3.7016446E+002
 4.3584072E+000, 3.0198066E-014, 7.0000000E+000, 3.7374593E+002
 4.3816060E+000, 1.9984014E-014, 6.0000000E+000, 3.7693856E+002
 4.4164043E+000, 3.2862602E-014, 7.3333333E+000, 3.8030384E+002
 4.4512025E+000, 5.9211895E-014, 8.0000000E+000, 3.8488561E+002
 4.4720247E+000, 1.8651747E-014, 7.0000000E+000, 3.8936234E+002
 4.5032580E+000, 3.8783791E-014, 7.0000000E+000, 3.9268739E+002
 4.5344913E+000, 3.2270483E-014, 7.3333333E+000, 3.9698867E+002
 4.5657245E+000, 3.1086245E-014, 6.6666667E+000, 4.0123374E+002
 4.5969578E+000, 2.1316282E-014, 6.3333333E+000, 4.0538112E+002
 4.6281911E+000, 2.1316282E-014, 6.0000000E+000, 4.0930900E+002
 4.6594244E+000, 2.9013828E-014, 6.6666667E+000, 4.1339400E+002
 4.6802466E+000, 1.7763568E-014, 6.0000000E+000, 4.1684139E+002
 4.7146033E+000, 3.7599553E-014, 6.6666667E+000, 4.2045912E+002
 4.7489599E+000, 2.9013828E-014, 6.0000000E+000, 4.2469204E+002
 4.7718643E+000, 3.9968029E-014, 6.0000000E+000, 4.2796860E+002
 4.8062209E+000, 3.4935018E-014, 5.6666667E+000, 4.3129294E+002
 4.8405776E+000, 4.4704980E-014, 7.6666667E+000, 4.3554208E+002
 4.8634820E+000, 3.1086245E-014, 5.5000000E+000, 4.3916610E+002
 4.8978386E+000, 4.2336505E-014, 6.6666667E+000, 4.4253872E+002
 4.9207430E+000, 3.8635761E-014, 6.5000000E+000, 4.4609382E+002
 4.9550996E+000, 4.7369516E-014, 7.3333333E+000, 4.4968098E+002
 4.9894563E+000, 3.6415315E-014, 6.6666667E+000, 4.5431606E+002
 5.0123607E+000, 3.0642155E-014, 7.0000000E+000, 4.5824079E+002
 5.0467173E+000, 5.0922229E-014, 6.3333333E+000, 4.6197274E+002
 5.0810739E+000, 3.4046839E-014, 6.6666667E+000, 4.6616260E+002
 5.1039783E+000, 4.3076653E-014, 7.0000000E+000, 4.6976023E+002
 5.1383350E+000, 4.7369516E-014, 7.3333333E+000, 4.7376897E+002
 5.1612394E+000, 4.0412118E-014, 7.0000000E+000, 4.7760218E+002
 5.1955960E+000, 3.0198066E-014, 6.3333333E+000, 4.8129156E+002
 5.2299526E+000, 2.1908401E-014, 6.3333333E+000, 4.8558048E+002
 5.2528571E+000, 3.0198066E-014, 5.5000000E+000, 4.8900380E+002
 5.2872137E+000, 2.8421709E-014, 7.0000000E+000, 4.9293515E+002
 5.3101181E+000, 3.5527137E-014, 7.0000000E+000, 4.9661078E+002
 5.3444747E+000, 4.1448326E-014, 6.0000000E+000, 5.0006994E+002
 5.3788313E+000, 3.5231077E-014, 6.6666667E+000, 5.0430876E+002
 5.4017358E+000, 3.5971226E-014, 5.0000000E+000, 5.0780475E+002
 5.4360924E+000, 3.2862602E-014, 5.6666667E+000, 5.1127656E+002
 5.4704490E+000, 3.1678364E-014, 4.6666667E+000, 5.1526473E+002
 5.4933534E+000, 2.7089442E-014, 6.0000000E+000, 5.1865027E+002
 5.5277101E+000, 2.6053234E-014, 5.6666667E+000, 5.2221717E+002
 5.5506145E+000, 4.7961635E-014, 6.5000000E+000, 5.2608716E+002
 5.5849711E+000, 3.3750780E-014, 6.6666667E+000, 5.2973607E+002
 5.6193277E+000, 4.0560148E-014, 6.3333333E+000, 5.3429460E+002
 5.6422321E+000, 4.4853010E-014, 6.5000000E+000, 5.3811094E+002
 5.6765888E+000, 9.3554794E-014, 7.3333333E+000, 5.4220317E+002
 5.7077658E+000, 5.6335184E-014, 5.9490079E+000, 5.4700228E+002
 5.7373531E+000, 3.9375910E-014, 6.3333333E+000, 5.5190023E+002
 5.7669404E+000, 4.5889218E-014, 6.6666667E+000, 5.5636414E+002
 5.7965277E+000, 3.6415315E-014, 4.6666667E+000, 5.6073609E+002
 5.8261149E+000, 5.8027657E-014, 6.6666667E+000, 5.6517507E+002
 5.8557022E+000, 3.7303494E-014, 5.0000000E+000, 5.6929865E+002
 5.8852895E+000, 7.2238511E-014, 6.0000000E+000, 5.7357693E+002
 5.9148768E+000, 6.2764608E-014, 5.6666667E+000, 5.7788011E+002
 5.9444640E+000, 6.4244906E-014, 6.0000000E+000, 5.8217263E+002
 5.9740513E+000, 3.8487732E-014, 6.0000000E+000, 5.8661019E+002
 6.0036386E+000, 3.0198066E-014, 6.0000000E+000, 5.9096035E+002
 6.0332259E+000, 4.9145873E-014, 6.0000000E+000, 5.9529906E+002
 6.0628131E+000, 7.1054274E-014, 6.6666667E+000, 5.9967263E+002
 6.0924004E+000, 7.8455760E-014, 6.3333333E+000, 6.0427891E+002
 6.1219877E+000, 6.1580370E-014, 7.6666667E+000, 6.0893757E+002
 6.1535474E+000, 4.3270942E-014, 5.6562500E+000, 6.1376322E+002
 6.1860934E+000, 2.9013828E-014, 6.0000000E+000, 6.1819261E+002
 6.2186394E+000, 2.4868996E-014, 6.3333333E+000, 6.2285832E+002
 6.2403368E+000, 5.0848215E-014, 7.0000000E+000, 6.2696460E+002
 6.2728828E+000, 4.1004237E-014, 5.3333333E+000, 6.3050389E+002
 6.3054288E+000, 6.3356727E-014, 7.0000000E+000, 6.3503573E+002
 6.3345883E+000, 2.6349293E-014, 6.3333333E+000, 6.4032736E+002
 6.3637477E+000, 2.9605947E-014, 7.6666667E+000, 6.4534929E+002
 6.3948512E+000, 4.1577852E-014, 6.7187500E+000, 6.5004864E+002
 6.4269266E+000, 3.1974423E-014, 7.3333333E+000, 6.5511005E+002
 6.4590020E+000, 3.1382304E-014, 6.3333333E+000, 6.5992436E+002
 6.4803857E+000, 7.3274720E-014, 7.0000000E+000, 6.6385456E+002
 6.5124611E+000, 4.9145873E-014, 5.3333333E+000, 6.6739952E+002
 6.5445365E+000, 3.7303494E-014, 6.6666667E+000, 6.7203663E+002
 6.5766119E+000, 5.6843419E-014, 5.6666667E+000, 6.7644438E+002
 6.6086874E+000, 4.5297099E-014, 6.0000000E+000, 6.8095699E+002
 6.6300710E+000, 4.5741189E-014, 6.5000000E+000, 6.8479242E+002
 6.6621464E+000, 3.5823196E-014, 6.3333333E+000, 6.8857365E+002
 6.6942218E+000, 5.4474943E-014, 6.6666667E+000, 6.9333735E+002
 6.7262973E+000, 3.3158661E-014, 6.3333333E+000, 6.9779745E+002
 6.7583727E+000, 3.4935018E-014, 6.6666667E+000, 7.0254045E+002
 6.7904481E+000, 4.5889218E-014, 5.6666667E+000, 7.0696208E+002
 6.8118317E+000, 7.1942452E-014, 7.0000000E+000, 7.1090149E+002
 6.8439072E+000, 3.4342899E-014, 5.3333333E+000, 7.1455734E+002
 6.8759826E+000, 9.9179924E-014, 6.6666667E+000, 7.1918580E+002
 6.9080580E+000, 7.6679404E-014, 5.6666667E+000, 7.2357719E+002
 6.9401334E+000, 4.8257694E-014, 6.0000000E+000, 7.2798875E+002
 6.9615170E+000, 2.7977620E-014, 6.0000000E+000, 7.3133982E+002
 6.9935925E+000, 1.8355687E-014, 4.0000000E+000, 7.3403571E+002
 7.0256679E+000, 3.1678364E-014, 6.0000000E+000, 7.3823590E+002
 7.0577433E+000, 2.9902007E-014, 6.0000000E+000, 7.4254908E+002
 7.0898188E+000, 3.2566542E-014, 5.6666667E+000, 7.4704055E+002
 7.1112024E+000, 3.7303494E-014, 7.0000000E+000, 7.5075687E+002
 7.1432778E+000, 4.2928624E-014, 6.6666667E+000, 7.5447248E+002
 7.1753532E+000, 5.8619776E-014, 6.6666667E+000, 7.5893234E+002
 7.2074286E+000, 4.2040445E-014, 5.6666667E+000, 7.6330013E+002
 7.2395041E+000, 2.9457918E-014, 5.6666667E+000, 7.6749469E+002
 7.2608877E+000, 3.0642155E-014, 7.0000000E+000, 7.7141751E+002
 7.2929631E+000, 2.6349293E-014, 4.6666667E+000, 7.7507343E+002
 7.3250385E+000, 2.5757174E-014, 6.0000000E+000, 7.7909817E+002
 7.3571140E+000, 4.0560148E-014, 6.6666667E+000, 7.8366458E+002
 7.3806359E+000, 3.5971226E-014, 7.0000000E+000, 7.8769834E+002
 7.4159189E+000, 4.0856207E-014, 6.3333333E+000, 7.9154926E+002
 7.4512019E+000, 5.8027657E-014, 6.0000000E+000, 7.9589584E+002
