Time,Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
  0.28978001E+02,   2500,     17, 158294,      3,     80,      8,      1,  0.68249853E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     18, 158295,      3,     80,      7,      1,  0.55461698E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     19, 158296,      3,     80,      6,      1,  0.45701903E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     20, 158297,      3,     80,      5,      1,  0.38250333E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     21, 158298,      3,     80,      2,      1,  0.32352364E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     22, 158299,      3,     80,      1,      1,  0.27526822E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     23, 158300,      3,     80,      1,      1,  0.23360128E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     24, 158301,      3,     80,      1,      1,  0.19782955E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     25, 158302,      3,     80,      1,      1,  0.16727270E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     26, 158303,      3,     80,      1,      1,  0.14128425E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     27, 158304,      3,     80,      1,      1,  0.11923639E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     28, 158305,      3,     80,      1,      1,  0.10057372E-01,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     29, 158306,      3,     80,      1,      1,  0.84797479E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     30, 158307,      3,     80,      1,      1,  0.71476629E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     31, 158308,      3,     80,      1,      1,  0.60237093E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     32, 158309,      3,     80,      1,      1,  0.50759121E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     33, 158310,      3,     80,      1,      1,  0.42769627E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     34, 158311,      3,     80,      1,      1,  0.36036634E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     35, 158312,      3,     80,      1,      1,  0.30363541E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     36, 158313,      3,     80,      1,      1,  0.25583976E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     37, 158314,      3,     80,      1,      1,  0.21557458E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     38, 158315,      3,     80,      1,      1,  0.18165385E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     39, 158316,      3,     80,      1,      1,  0.15307782E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     40, 158317,      3,     80,      1,      1,  0.12900360E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     41, 158318,      3,     80,      1,      1,  0.10872125E-02,      3,     80,     11,      1,  0.47082862E+03
  0.28978001E+02,   2500,     42, 158319,      3,     80,      1,      1,  0.91632603E-03,      3,     80,     11,      1,  0.47082862E+03
