s,m/s,,s
Time,error,iter,cputime
 2.3804131E+000, 9.3929876E-004, 4.0333333E+001, 4.1543889E+001
 2.4066051E+000, 9.2419274E-004, 3.7000000E+001, 4.2462650E+001
 2.4327972E+000, 9.3053117E-004, 3.3500000E+001, 4.3147333E+001
 2.4720852E+000, 9.3280749E-004, 4.3666667E+001, 4.4099134E+001
 2.4982773E+000, 9.1093764E-004, 3.9500000E+001, 4.5026445E+001
 2.5214735E+000, 8.6003322E-004, 4.3500000E+001, 4.5953500E+001
 2.5562679E+000, 9.2085007E-004, 3.3000000E+001, 4.6821734E+001
 2.5910622E+000, 9.0991454E-004, 3.3666667E+001, 4.7883766E+001
 2.6142585E+000, 9.1790150E-004, 3.5500000E+001, 4.8772815E+001
 2.6490528E+000, 9.2383464E-004, 3.1666667E+001, 4.9636753E+001
 2.6722490E+000, 8.7327319E-004, 3.9000000E+001, 5.0534328E+001
 2.7070434E+000, 9.2904126E-004, 3.9000000E+001, 5.1456114E+001
 2.7302396E+000, 9.4136772E-004, 3.8000000E+001, 5.2377870E+001
 2.7650340E+000, 9.2485980E-004, 3.1000000E+001, 5.3243554E+001
 2.7998283E+000, 8.8578164E-004, 3.4000000E+001, 5.4281991E+001
 2.8241844E+000, 9.5509277E-004, 4.3190476E+001, 5.5246496E+001
 2.8610733E+000, 9.2774955E-004, 3.3270766E+001, 5.6187631E+001
 2.8838195E+000, 9.2208797E-004, 3.3500000E+001, 5.7158594E+001
 2.9179388E+000, 8.8331398E-004, 4.0333333E+001, 5.8161948E+001
 2.9406850E+000, 9.1347243E-004, 3.5000000E+001, 5.9056385E+001
 2.9748043E+000, 8.8264077E-004, 3.8333333E+001, 5.9977939E+001
 3.0089236E+000, 8.9676116E-004, 2.7666667E+001, 6.1019829E+001
 3.0316698E+000, 8.7879207E-004, 3.8000000E+001, 6.1886955E+001
 3.0657891E+000, 9.3724749E-004, 2.4666667E+001, 6.2736582E+001
 3.0999084E+000, 9.0190419E-004, 3.0333333E+001, 6.3757456E+001
 3.1226546E+000, 9.4745197E-004, 3.6000000E+001, 6.4629310E+001
 3.1567739E+000, 9.1278781E-004, 3.1000000E+001, 6.5540873E+001
 3.1908932E+000, 9.1011896E-004, 3.8666667E+001, 6.6643692E+001
 3.2136394E+000, 9.2833695E-004, 4.0500000E+001, 6.7585628E+001
 3.2477587E+000, 8.8646412E-004, 3.8666667E+001, 6.8519330E+001
 3.2705049E+000, 8.5177994E-004, 3.8500000E+001, 6.9413654E+001
 3.3046242E+000, 9.4886477E-004, 3.8000000E+001, 7.0346356E+001
 3.3387435E+000, 9.4395675E-004, 3.5333333E+001, 7.1463234E+001
 3.3614896E+000, 8.9719883E-004, 4.2000000E+001, 7.2403671E+001
 3.3956089E+000, 8.7551062E-004, 3.6000000E+001, 7.3348330E+001
 3.4297282E+000, 7.8274201E-004, 3.1666667E+001, 7.4479510E+001
 3.4524744E+000, 9.2861119E-004, 3.8000000E+001, 7.5399719E+001
 3.4865937E+000, 8.7007081E-004, 3.4333333E+001, 7.6303825E+001
 3.5207130E+000, 9.3567558E-004, 2.8000000E+001, 7.7337847E+001
 3.5434592E+000, 8.5463965E-004, 3.1500000E+001, 7.8176639E+001
 3.5775785E+000, 9.1919389E-004, 3.7000000E+001, 7.9097020E+001
 3.6003247E+000, 8.9185100E-004, 2.5500000E+001, 7.9941467E+001
 3.6344440E+000, 9.1049246E-004, 2.9000000E+001, 8.0808886E+001
 3.6685633E+000, 9.2217358E-004, 3.3666667E+001, 8.1864860E+001
 3.6913095E+000, 8.8163098E-004, 3.7500000E+001, 8.2774692E+001
 3.7254288E+000, 9.5767791E-004, 3.2666667E+001, 8.3641350E+001
 3.7595481E+000, 9.1414472E-004, 3.6000000E+001, 8.4732747E+001
 3.7822943E+000, 9.3914829E-004, 1.8000000E+001, 8.5562347E+001
 3.8164136E+000, 9.1513800E-004, 3.5000000E+001, 8.6431111E+001
 3.8505328E+000, 9.0843932E-004, 3.0333333E+001, 8.7464241E+001
 3.8732790E+000, 9.5924814E-004, 3.6000000E+001, 8.8360985E+001
 3.9073983E+000, 8.7945749E-004, 2.5333333E+001, 8.9243492E+001
 3.9301445E+000, 9.2841973E-004, 2.3500000E+001, 9.0113903E+001
 3.9642638E+000, 8.8286364E-004, 3.9333333E+001, 9.0987424E+001
 3.9983831E+000, 8.9033266E-004, 3.4666667E+001, 9.2106359E+001
 4.0211293E+000, 8.7304377E-004, 3.6500000E+001, 9.3025577E+001
 4.0552486E+000, 9.2628464E-004, 3.6000000E+001, 9.3981969E+001
 4.0893679E+000, 9.3004770E-004, 3.5000000E+001, 9.5070910E+001
 4.1121141E+000, 9.1948497E-004, 3.6500000E+001, 9.5979091E+001
 4.1462334E+000, 8.8395688E-004, 3.8666667E+001, 9.6908605E+001
 4.1803527E+000, 9.3696717E-004, 4.4666667E+001, 9.8093261E+001
 4.2030989E+000, 9.2061258E-004, 4.4500000E+001, 9.9105041E+001
 4.2372182E+000, 9.1513320E-004, 4.9000000E+001, 1.0015290E+002
 4.2713375E+000, 8.8136242E-004, 3.8666667E+001, 1.0135395E+002
 4.2940837E+000, 9.3083820E-004, 4.1000000E+001, 1.0227623E+002
 4.3282029E+000, 9.7016546E-004, 3.6333333E+001, 1.0325875E+002
 4.3509491E+000, 9.5053874E-004, 3.9500000E+001, 1.0419370E+002
 4.3850684E+000, 9.2486529E-004, 4.2666667E+001, 1.0511909E+002
 4.4191877E+000, 9.2357972E-004, 4.6000000E+001, 1.0631350E+002
 4.4419339E+000, 9.1739134E-004, 4.2500000E+001, 1.0730418E+002
 4.4760532E+000, 8.9277626E-004, 4.3000000E+001, 1.0828447E+002
 4.5101725E+000, 9.1438637E-004, 4.2333333E+001, 1.0946599E+002
 4.5329187E+000, 9.2171733E-004, 3.6000000E+001, 1.1041238E+002
 4.5670380E+000, 9.0889796E-004, 3.9333333E+001, 1.1137912E+002
 4.6011573E+000, 9.4985239E-004, 3.5000000E+001, 1.1251420E+002
 4.6239035E+000, 8.8947957E-004, 4.3500000E+001, 1.1344439E+002
 4.6580228E+000, 9.6623690E-004, 3.8000000E+001, 1.1439006E+002
 4.6807690E+000, 9.3620863E-004, 4.3500000E+001, 1.1537868E+002
 4.7148883E+000, 9.1261242E-004, 3.7333333E+001, 1.1634706E+002
 4.7490076E+000, 9.0773311E-004, 3.9000000E+001, 1.1752098E+002
 4.7717538E+000, 9.3733977E-004, 3.1000000E+001, 1.1845731E+002
 4.8058731E+000, 9.1438248E-004, 4.1000000E+001, 1.1942324E+002
 4.8399923E+000, 9.3270356E-004, 4.3666667E+001, 1.2060624E+002
 4.8627385E+000, 8.7248652E-004, 3.6000000E+001, 1.2156679E+002
 4.8968578E+000, 9.4793962E-004, 4.3666667E+001, 1.2256054E+002
 4.9309771E+000, 9.9123983E-004, 3.8000000E+001, 1.2370943E+002
 4.9537233E+000, 9.1706197E-004, 3.6000000E+001, 1.2464633E+002
 4.9878426E+000, 9.1499816E-004, 3.9333333E+001, 1.2557955E+002
 5.0105888E+000, 9.1683263E-004, 3.3500000E+001, 1.2650974E+002
 5.0447081E+000, 9.0161129E-004, 3.5000000E+001, 1.2743278E+002
 5.0788274E+000, 9.6516271E-004, 2.4666667E+001, 1.2846702E+002
 5.1015736E+000, 9.0817996E-004, 2.7500000E+001, 1.2933907E+002
 5.1356929E+000, 9.0275154E-004, 3.7000000E+001, 1.3032110E+002
 5.1698122E+000, 9.1815590E-004, 4.0000000E+001, 1.3146485E+002
 5.1925584E+000, 9.0402604E-004, 4.1500000E+001, 1.3241317E+002
 5.2266777E+000, 9.1967654E-004, 3.3000000E+001, 1.3331791E+002
 5.2607970E+000, 9.0578177E-004, 3.1666667E+001, 1.3443511E+002
 5.2835432E+000, 9.1414365E-004, 3.3000000E+001, 1.3532793E+002
 5.3176624E+000, 9.1923397E-004, 3.7000000E+001, 1.3628375E+002
 5.3404086E+000, 9.2134274E-004, 3.0000000E+001, 1.3715918E+002
 5.3745279E+000, 8.4061823E-004, 2.9666667E+001, 1.3808799E+002
 5.4086472E+000, 8.9981134E-004, 3.3666667E+001, 1.3918859E+002
 5.4313934E+000, 9.1945100E-004, 2.9500000E+001, 1.4009330E+002
 5.4655127E+000, 9.3389803E-004, 3.6000000E+001, 1.4101427E+002
 5.4996320E+000, 9.2855619E-004, 3.5333333E+001, 1.4214356E+002
 5.5223782E+000, 9.4605446E-004, 3.5000000E+001, 1.4305549E+002
 5.5564975E+000, 9.3560033E-004, 3.5333333E+001, 1.4406914E+002
 5.5906168E+000, 9.5257310E-004, 3.2000000E+001, 1.4520812E+002
 5.6119040E+000, 9.9121043E-004, 3.4397194E+001, 1.4616378E+002
 5.6416464E+000, 9.5532113E-004, 3.5000000E+001, 1.4719995E+002
 5.6713887E+000, 9.2796185E-004, 3.0666667E+001, 1.4826592E+002
 5.7011311E+000, 9.0340463E-004, 3.0333333E+001, 1.4934476E+002
 5.7308735E+000, 9.0932196E-004, 3.7666667E+001, 1.5047622E+002
 5.7606159E+000, 8.6238187E-004, 3.4000000E+001, 1.5156626E+002
 5.7903582E+000, 9.5610300E-004, 3.5333333E+001, 1.5267323E+002
 5.8220834E+000, 9.3693148E-004, 3.5906250E+001, 1.5380302E+002
 5.8548000E+000, 8.8847085E-004, 3.1333333E+001, 1.5492721E+002
 5.8875166E+000, 9.6752512E-004, 3.0333333E+001, 1.5599787E+002
 5.9202332E+000, 9.2674601E-004, 3.3333333E+001, 1.5709015E+002
 5.9420443E+000, 9.3931954E-004, 3.6000000E+001, 1.5805530E+002
 5.9747609E+000, 9.2398606E-004, 3.2000000E+001, 1.5898882E+002
 6.0074775E+000, 8.9852528E-004, 3.0666667E+001, 1.6010494E+002
 6.0401941E+000, 9.2232795E-004, 2.9666667E+001, 1.6116548E+002
 6.0620052E+000, 9.3036528E-004, 3.5000000E+001, 1.6211433E+002
 6.0947218E+000, 9.1684622E-004, 3.5000000E+001, 1.6307480E+002
 6.1274384E+000, 9.2057569E-004, 2.8333333E+001, 1.6416401E+002
 6.1601550E+000, 9.3438619E-004, 4.1666667E+001, 1.6533503E+002
 6.1819661E+000, 9.7151208E-004, 3.8500000E+001, 1.6627917E+002
 6.2146827E+000, 9.4233159E-004, 3.8333333E+001, 1.6726177E+002
 6.2473993E+000, 8.9096867E-004, 3.9333333E+001, 1.6844062E+002
 6.2801159E+000, 9.2534061E-004, 3.6000000E+001, 1.6961678E+002
 6.3019270E+000, 8.5751563E-004, 2.7500000E+001, 1.7052907E+002
 6.3346436E+000, 9.7090175E-004, 3.4666667E+001, 1.7150391E+002
 6.3673602E+000, 8.8927066E-004, 3.4666667E+001, 1.7263298E+002
 6.4000768E+000, 9.3112282E-004, 3.2666667E+001, 1.7368005E+002
 6.4218878E+000, 9.5125897E-004, 3.4500000E+001, 1.7466016E+002
 6.4546044E+000, 9.0565469E-004, 4.1333333E+001, 1.7565707E+002
 6.4873210E+000, 9.1381547E-004, 3.9333333E+001, 1.7686259E+002
 6.5200377E+000, 9.4739837E-004, 3.3333333E+001, 1.7802016E+002
 6.5418487E+000, 9.4876485E-004, 4.3500000E+001, 1.7901947E+002
 6.5745653E+000, 9.3693378E-004, 3.6000000E+001, 1.8001058E+002
 6.6072819E+000, 9.4851179E-004, 3.3666667E+001, 1.8115669E+002
 6.6399985E+000, 9.5423001E-004, 3.5666667E+001, 1.8232968E+002
 6.6618096E+000, 8.6929254E-004, 3.2000000E+001, 1.8330690E+002
 6.6945262E+000, 9.0830159E-004, 2.8000000E+001, 1.8417178E+002
 6.7272428E+000, 8.8148274E-004, 3.1000000E+001, 1.8523485E+002
 6.7599594E+000, 8.6253774E-004, 3.3000000E+001, 1.8633389E+002
 6.7817705E+000, 8.6033982E-004, 3.5000000E+001, 1.8726894E+002
 6.8144871E+000, 9.7174792E-004, 3.5666667E+001, 1.8823560E+002
 6.8472037E+000, 9.2246707E-004, 3.3666667E+001, 1.8931795E+002
 6.8799203E+000, 8.6619117E-004, 4.0666667E+001, 1.9048547E+002
 6.9017314E+000, 8.9377888E-004, 4.0000000E+001, 1.9145437E+002
 6.9344480E+000, 9.5676560E-004, 3.3666667E+001, 1.9237868E+002
 6.9671646E+000, 9.4758155E-004, 4.5000000E+001, 1.9358425E+002
 6.9998812E+000, 9.2043037E-004, 4.2333333E+001, 1.9488608E+002
 7.0216923E+000, 8.7977851E-004, 3.4500000E+001, 1.9589513E+002
 7.0544089E+000, 9.2686872E-004, 3.6333333E+001, 1.9681525E+002
 7.0871255E+000, 9.3565924E-004, 3.8666667E+001, 1.9797285E+002
 7.1198421E+000, 9.1025644E-004, 3.5666667E+001, 1.9909173E+002
 7.1416532E+000, 9.6871413E-004, 4.0000000E+001, 2.0004430E+002
 7.1743698E+000, 8.9168105E-004, 3.3333333E+001, 2.0098717E+002
 7.2070864E+000, 8.8835665E-004, 2.9666667E+001, 2.0208335E+002
 7.2398030E+000, 9.3142588E-004, 3.7000000E+001, 2.0316088E+002
 7.2616140E+000, 8.5711360E-004, 4.5500000E+001, 2.0415221E+002
 7.2943306E+000, 9.4688911E-004, 3.4000000E+001, 2.0510701E+002
 7.3270472E+000, 9.2658937E-004, 2.8666667E+001, 2.0618537E+002
 7.3597639E+000, 8.8591006E-004, 2.4666667E+001, 2.0723091E+002
 7.3815749E+000, 8.7516562E-004, 2.5500000E+001, 2.0813192E+002
 7.4142915E+000, 8.7878162E-004, 2.9666667E+001, 2.0901576E+002
 7.4470081E+000, 9.3670571E-004, 3.3666667E+001, 2.1012438E+002
 7.4797247E+000, 8.7742040E-004, 3.5333333E+001, 2.1126028E+002
 7.5015358E+000, 9.2282104E-004, 4.0000000E+001, 2.1228827E+002
 7.5342524E+000, 9.2603874E-004, 3.9000000E+001, 2.1328478E+002
 7.5669690E+000, 9.4583226E-004, 3.7000000E+001, 2.1444052E+002
 7.5996856E+000, 9.2545304E-004, 3.4000000E+001, 2.1558604E+002
 7.6214967E+000, 8.9650905E-004, 3.4500000E+001, 2.1648427E+002
 7.6542133E+000, 9.5285556E-004, 3.5333333E+001, 2.1746317E+002
 7.6869299E+000, 9.4707981E-004, 4.2000000E+001, 2.1863208E+002
 7.7196465E+000, 9.5555547E-004, 3.9000000E+001, 2.1981142E+002
 7.7414576E+000, 9.1381436E-004, 4.3000000E+001, 2.2085609E+002
 7.7741742E+000, 9.2404456E-004, 3.8666667E+001, 2.2185678E+002
 7.8068908E+000, 8.8545668E-004, 3.9333333E+001, 2.2301267E+002
 7.8396074E+000, 9.1241498E-004, 3.2666667E+001, 2.2415548E+002
 7.8614185E+000, 9.2860000E-004, 3.7500000E+001, 2.2508202E+002
 7.8941351E+000, 9.4574840E-004, 3.4666667E+001, 2.2605660E+002
