s,kg/s,,kg/s,,kg
Time,MF IN TRACER,MASS IN TRACER,MF OUT TRACER,MASS OUT TRACER,MASS VOL TRACER
 1.1988748E-001, 1.2551228E+002, 1.5047345E+001,-2.1125647E+001,-9.4067559E-001, 1.3856559E+001
 1.2230279E-001, 1.2551228E+002, 1.5350497E+001,-2.1667311E+001,-9.9300898E-001, 1.4108059E+001
 1.2471811E-001, 1.2551228E+002, 1.5653648E+001,-2.2247106E+001,-1.0467428E+000, 1.4358210E+001
 1.2713343E-001, 1.2551228E+002, 1.5956800E+001,-2.2873694E+001,-1.1019900E+000, 1.4606909E+001
 1.2954874E-001, 1.2551228E+002, 1.6259952E+001,-2.3555717E+001,-1.1588844E+000, 1.4854033E+001
 1.3196406E-001, 1.2551228E+002, 1.6563104E+001,-2.4301623E+001,-1.2175805E+000, 1.5099439E+001
 1.3437937E-001, 1.2551228E+002, 1.6866255E+001,-2.5119493E+001,-1.2782520E+000, 1.5342962E+001
 1.3679469E-001, 1.2551228E+002, 1.7169407E+001,-2.6016788E+001,-1.3410908E+000, 1.5584418E+001
 1.3921000E-001, 1.2551228E+002, 1.7472559E+001,-2.7000056E+001,-1.4063044E+000, 1.5823609E+001
 1.4162532E-001, 1.2551228E+002, 1.7775711E+001,-2.8074656E+001,-1.4741136E+000, 1.6060318E+001
 1.4404063E-001, 1.2551228E+002, 1.8078862E+001,-2.9244505E+001,-1.5447483E+000, 1.6294320E+001
 1.4645595E-001, 1.2551228E+002, 1.8382014E+001,-3.0511836E+001,-1.6184440E+000, 1.6525381E+001
 1.4887127E-001, 1.2551228E+002, 1.8685166E+001,-3.1877045E+001,-1.6954371E+000, 1.6753264E+001
 1.5128658E-001, 1.2551228E+002, 1.8988318E+001,-3.3338609E+001,-1.7759604E+000, 1.6977733E+001
 1.5370190E-001, 1.2551228E+002, 1.9291469E+001,-3.4893142E+001,-1.8602383E+000, 1.7198558E+001
 1.5611721E-001, 1.2551228E+002, 1.9594621E+001,-3.6535611E+001,-1.9484834E+000, 1.7415520E+001
 1.5853253E-001, 1.2551228E+002, 1.9897773E+001,-3.8259544E+001,-2.0408922E+000, 1.7628413E+001
 1.6094784E-001, 1.2551228E+002, 2.0200925E+001,-4.0056916E+001,-2.1376423E+000, 1.7837049E+001
