s,kg/s,,kg/s,,kg
Time,MF IN TRACER,MASS IN TRACER,MF OUT TRACER,MASS OUT TRACER,MASS VOL TRACER
 5.4256769E-001, 1.2551228E+002, 6.8098902E+001,-1.0694955E+002,-3.8478849E+001, 2.9474017E+001
 5.4498301E-001, 1.2551228E+002, 6.8402054E+001,-1.0700158E+002,-3.8737291E+001, 2.9518789E+001
 5.4739833E-001, 1.2551228E+002, 6.8705206E+001,-1.0705191E+002,-3.8995855E+001, 2.9563437E+001
 5.4981364E-001, 1.2551228E+002, 6.9008357E+001,-1.0710000E+002,-3.9254536E+001, 2.9607965E+001
 5.5222896E-001, 1.2551228E+002, 6.9311509E+001,-1.0714583E+002,-3.9513327E+001, 2.9652379E+001
 5.5464427E-001, 1.2551228E+002, 6.9614661E+001,-1.0718929E+002,-3.9772223E+001, 2.9696686E+001
 5.5705959E-001, 1.2551228E+002, 6.9917813E+001,-1.0723000E+002,-4.0031217E+001, 2.9740891E+001
 5.5947490E-001, 1.2551228E+002, 7.0220964E+001,-1.0726782E+002,-4.0290303E+001, 2.9785001E+001
 5.6189022E-001, 1.2551228E+002, 7.0524116E+001,-1.0730239E+002,-4.0549472E+001, 2.9829023E+001
 5.6430553E-001, 1.2551228E+002, 7.0827268E+001,-1.0733306E+002,-4.0808715E+001, 2.9872966E+001
 5.6672085E-001, 1.2551228E+002, 7.1130420E+001,-1.0735895E+002,-4.1068021E+001, 2.9916841E+001
 5.6913617E-001, 1.2551228E+002, 7.1433571E+001,-1.0737911E+002,-4.1327375E+001, 2.9960659E+001
 5.7155148E-001, 1.2551228E+002, 7.1736723E+001,-1.0739250E+002,-4.1586762E+001, 3.0004437E+001
 5.7396680E-001, 1.2551228E+002, 7.2039875E+001,-1.0739826E+002,-4.1846163E+001, 3.0048190E+001
 5.7638211E-001, 1.2551228E+002, 7.2343027E+001,-1.0739654E+002,-4.2105559E+001, 3.0091939E+001
 5.7879743E-001, 1.2551228E+002, 7.2646178E+001,-1.0738786E+002,-4.2364935E+001, 3.0135701E+001
 5.8121274E-001, 1.2551228E+002, 7.2949330E+001,-1.0737305E+002,-4.2624274E+001, 3.0179491E+001
 5.8362806E-001, 1.2551228E+002, 7.3252482E+001,-1.0735294E+002,-4.2883566E+001, 3.0223324E+001
 5.8604337E-001, 1.2551228E+002, 7.3555634E+001,-1.0732864E+002,-4.3142798E+001, 3.0267212E+001
 5.8845869E-001, 1.2551228E+002, 7.3858785E+001,-1.0730172E+002,-4.3401966E+001, 3.0311162E+001
 5.9087400E-001, 1.2551228E+002, 7.4161937E+001,-1.0727355E+002,-4.3661065E+001, 3.0355180E+001
 5.9328932E-001, 1.2551228E+002, 7.4465089E+001,-1.0724608E+002,-4.3920098E+001, 3.0399266E+001
 5.9570464E-001, 1.2551228E+002, 7.4768241E+001,-1.0722102E+002,-4.4179071E+001, 3.0443417E+001
 5.9811995E-001, 1.2551228E+002, 7.5071392E+001,-1.0720069E+002,-4.4437994E+001, 3.0487623E+001
 6.0053527E-001, 1.2551228E+002, 7.5374544E+001,-1.0718705E+002,-4.4696885E+001, 3.0531872E+001
 6.0295058E-001, 1.2551228E+002, 7.5677696E+001,-1.0718125E+002,-4.4955761E+001, 3.0576145E+001
 6.0536590E-001, 1.2551228E+002, 7.5980848E+001,-1.0718356E+002,-4.5214644E+001, 3.0620423E+001
 6.0778121E-001, 1.2551228E+002, 7.6283999E+001,-1.0719510E+002,-4.5473554E+001, 3.0664684E+001
 6.1019653E-001, 1.2551228E+002, 7.6587151E+001,-1.0721761E+002,-4.5732518E+001, 3.0708905E+001
 6.1261184E-001, 1.2551228E+002, 7.6890303E+001,-1.0725260E+002,-4.5991567E+001, 3.0753057E+001
 6.1502716E-001, 1.2551228E+002, 7.7193455E+001,-1.0729995E+002,-4.6250730E+001, 3.0797110E+001
 6.1744248E-001, 1.2551228E+002, 7.7496606E+001,-1.0735906E+002,-4.6510036E+001, 3.0841034E+001
 6.1985779E-001, 1.2551228E+002, 7.7799758E+001,-1.0742905E+002,-4.6769511E+001, 3.0884802E+001
 6.2227311E-001, 1.2551228E+002, 7.8102910E+001,-1.0750976E+002,-4.7029181E+001, 3.0928389E+001
 6.2468842E-001, 1.2551228E+002, 7.8406062E+001,-1.0760072E+002,-4.7289071E+001, 3.0971767E+001
 6.2710374E-001, 1.2551228E+002, 7.8709213E+001,-1.0770155E+002,-4.7549204E+001, 3.1014914E+001
 6.2951905E-001, 1.2551228E+002, 7.9012365E+001,-1.0781237E+002,-4.7809605E+001, 3.1057805E+001
 6.3193437E-001, 1.2551228E+002, 7.9315517E+001,-1.0793474E+002,-4.8070301E+001, 3.1100416E+001
 6.3434968E-001, 1.2551228E+002, 7.9618669E+001,-1.0807079E+002,-4.8331326E+001, 3.1142716E+001
 6.3676500E-001, 1.2551228E+002, 7.9921820E+001,-1.0822458E+002,-4.8592723E+001, 3.1184668E+001
 6.3918032E-001, 1.2551228E+002, 8.0224972E+001,-1.0840112E+002,-4.8854546E+001, 3.1226224E+001
 6.4159563E-001, 1.2551228E+002, 8.0528124E+001,-1.0860645E+002,-4.9116865E+001, 3.1267323E+001
 6.4401095E-001, 1.2551228E+002, 8.0831276E+001,-1.0884641E+002,-4.9379763E+001, 3.1307887E+001
 6.4642626E-001, 1.2551228E+002, 8.1134428E+001,-1.0912633E+002,-4.9643338E+001, 3.1347827E+001
 6.4884158E-001, 1.2551228E+002, 8.1437579E+001,-1.0945120E+002,-4.9907697E+001, 3.1387040E+001
 6.5125689E-001, 1.2551228E+002, 8.1740731E+001,-1.0982347E+002,-5.0172955E+001, 3.1425412E+001
 6.5367221E-001, 1.2551228E+002, 8.2043883E+001,-1.1024197E+002,-5.0439224E+001, 3.1462829E+001
 6.5608752E-001, 1.2551228E+002, 8.2347035E+001,-1.1070155E+002,-5.0706603E+001, 3.1499183E+001
 6.5850284E-001, 1.2551228E+002, 8.2650186E+001,-1.1119372E+002,-5.0975171E+001, 3.1534382E+001
 6.6091815E-001, 1.2551228E+002, 8.2953338E+001,-1.1170750E+002,-5.1244980E+001, 3.1568361E+001
 6.6333347E-001, 1.2551228E+002, 8.3256490E+001,-1.1223220E+002,-5.1516056E+001, 3.1601079E+001
 6.6574879E-001, 1.2551228E+002, 8.3559642E+001,-1.1275781E+002,-5.1788402E+001, 3.1632523E+001
 6.6816410E-001, 1.2551228E+002, 8.3862793E+001,-1.1327580E+002,-5.2061999E+001, 3.1662702E+001
 6.7057942E-001, 1.2551228E+002, 8.4165945E+001,-1.1377962E+002,-5.2336813E+001, 3.1691642E+001
 6.7299473E-001, 1.2551228E+002, 8.4469097E+001,-1.1426450E+002,-5.2612797E+001, 3.1719386E+001
 6.7541005E-001, 1.2551228E+002, 8.4772249E+001,-1.1472778E+002,-5.2889901E+001, 3.1745983E+001
 6.7782536E-001, 1.2551228E+002, 8.5075400E+001,-1.1516886E+002,-5.3168070E+001, 3.1771487E+001
 6.8024068E-001, 1.2551228E+002, 8.5378552E+001,-1.1558766E+002,-5.3447251E+001, 3.1795952E+001
 6.8265599E-001, 1.2551228E+002, 8.5681704E+001,-1.1598504E+002,-5.3727391E+001, 3.1819432E+001
 6.8507131E-001, 1.2551228E+002, 8.5984856E+001,-1.1636192E+002,-5.4008442E+001, 3.1841978E+001
 6.8748663E-001, 1.2551228E+002, 8.6288007E+001,-1.1671981E+002,-5.4290357E+001, 3.1863636E+001
 6.8990194E-001, 1.2551228E+002, 8.6591159E+001,-1.1706037E+002,-5.4573095E+001, 3.1884453E+001
 6.9231726E-001, 1.2551228E+002, 8.6894311E+001,-1.1738521E+002,-5.4856617E+001, 3.1904466E+001
 6.9473257E-001, 1.2551228E+002, 8.7197463E+001,-1.1769597E+002,-5.5140890E+001, 3.1923712E+001
 6.9714789E-001, 1.2551228E+002, 8.7500614E+001,-1.1799381E+002,-5.5425883E+001, 3.1942225E+001
 6.9956320E-001, 1.2551228E+002, 8.7803766E+001,-1.1827940E+002,-5.5711565E+001, 3.1960033E+001
 7.0197852E-001, 1.2551228E+002, 8.8106918E+001,-1.1855307E+002,-5.5997908E+001, 3.1977166E+001
 7.0439383E-001, 1.2551228E+002, 8.8410070E+001,-1.1881514E+002,-5.6284884E+001, 3.1993652E+001
 7.0680915E-001, 1.2551228E+002, 8.8713221E+001,-1.1906602E+002,-5.6572466E+001, 3.2009519E+001
 7.0922446E-001, 1.2551228E+002, 8.9016373E+001,-1.1930579E+002,-5.6860627E+001, 3.2024793E+001
 7.1163978E-001, 1.2551228E+002, 8.9319525E+001,-1.1953449E+002,-5.7149340E+001, 3.2039501E+001
 7.1405510E-001, 1.2551228E+002, 8.9622677E+001,-1.1975196E+002,-5.7438579E+001, 3.2053671E+001
 7.1647041E-001, 1.2551228E+002, 8.9925828E+001,-1.1995804E+002,-5.7728316E+001, 3.2067329E+001
 7.1888573E-001, 1.2551228E+002, 9.0228980E+001,-1.2015276E+002,-5.8018522E+001, 3.2080503E+001
 7.2130104E-001, 1.2551228E+002, 9.0532132E+001,-1.2033599E+002,-5.8309172E+001, 3.2093220E+001
 7.2371636E-001, 1.2551228E+002, 9.0835284E+001,-1.2050791E+002,-5.8600237E+001, 3.2105508E+001
 7.2613167E-001, 1.2551228E+002, 9.1138435E+001,-1.2066893E+002,-5.8891690E+001, 3.2117395E+001
 7.2854699E-001, 1.2551228E+002, 9.1441587E+001,-1.2081961E+002,-5.9183508E+001, 3.2128905E+001
 7.3096230E-001, 1.2551228E+002, 9.1744739E+001,-1.2096052E+002,-5.9475665E+001, 3.2140064E+001
 7.3337762E-001, 1.2551228E+002, 9.2047891E+001,-1.2109217E+002,-5.9768141E+001, 3.2150894E+001
 7.3579294E-001, 1.2551228E+002, 9.2351042E+001,-1.2121515E+002,-6.0060914E+001, 3.2161416E+001
 7.3820825E-001, 1.2551228E+002, 9.2654194E+001,-1.2133013E+002,-6.0353965E+001, 3.2171652E+001
 7.4062357E-001, 1.2551228E+002, 9.2957346E+001,-1.2143806E+002,-6.0647276E+001, 3.2181619E+001
 7.4303888E-001, 1.2551228E+002, 9.3260498E+001,-1.2153988E+002,-6.0940833E+001, 3.2191333E+001
 7.4545420E-001, 1.2551228E+002, 9.3563649E+001,-1.2163665E+002,-6.1234624E+001, 3.2200808E+001
 7.4786951E-001, 1.2551228E+002, 9.3866801E+001,-1.2172921E+002,-6.1528638E+001, 3.2210054E+001
 7.5028483E-001, 1.2551228E+002, 9.4169953E+001,-1.2181830E+002,-6.1822868E+001, 3.2219082E+001
 7.5270014E-001, 1.2551228E+002, 9.4473105E+001,-1.2190437E+002,-6.2117305E+001, 3.2227899E+001
 7.5511546E-001, 1.2551228E+002, 9.4776256E+001,-1.2198775E+002,-6.2411944E+001, 3.2236511E+001
 7.5753078E-001, 1.2551228E+002, 9.5079408E+001,-1.2206874E+002,-6.2706779E+001, 3.2244925E+001
 7.5994609E-001, 1.2551228E+002, 9.5382560E+001,-1.2214760E+002,-6.3001804E+001, 3.2253145E+001
 7.6236141E-001, 1.2551228E+002, 9.5685712E+001,-1.2222447E+002,-6.3297015E+001, 3.2261178E+001
 7.6477672E-001, 1.2551228E+002, 9.5988864E+001,-1.2229954E+002,-6.3592406E+001, 3.2269028E+001
 7.6719204E-001, 1.2551228E+002, 9.6292015E+001,-1.2237314E+002,-6.3887976E+001, 3.2276698E+001
 7.6960735E-001, 1.2551228E+002, 9.6595167E+001,-1.2244549E+002,-6.4183721E+001, 3.2284192E+001
 7.7202267E-001, 1.2551228E+002, 9.6898319E+001,-1.2251703E+002,-6.4479638E+001, 3.2291513E+001
 7.7443798E-001, 1.2551228E+002, 9.7201471E+001,-1.2258787E+002,-6.4775726E+001, 3.2298661E+001
 7.7685330E-001, 1.2551228E+002, 9.7504622E+001,-1.2265827E+002,-6.5071985E+001, 3.2305640E+001
 7.7926861E-001, 1.2551228E+002, 9.7807774E+001,-1.2272837E+002,-6.5368413E+001, 3.2312448E+001
 7.8168393E-001, 1.2551228E+002, 9.8110926E+001,-1.2279813E+002,-6.5665009E+001, 3.2319088E+001
 7.8409925E-001, 1.2551228E+002, 9.8414078E+001,-1.2286746E+002,-6.5961772E+001, 3.2325560E+001
 7.8651456E-001, 1.2551228E+002, 9.8717229E+001,-1.2293618E+002,-6.6258702E+001, 3.2331864E+001
 7.8892988E-001, 1.2551228E+002, 9.9020381E+001,-1.2300409E+002,-6.6555796E+001, 3.2338004E+001
 7.9134519E-001, 1.2551228E+002, 9.9323533E+001,-1.2307115E+002,-6.6853051E+001, 3.2343981E+001
 7.9376051E-001, 1.2551228E+002, 9.9626685E+001,-1.2313723E+002,-6.7150467E+001, 3.2349797E+001
 7.9617582E-001, 1.2551228E+002, 9.9929836E+001,-1.2320216E+002,-6.7448039E+001, 3.2355454E+001
 7.9859114E-001, 1.2551228E+002, 1.0023299E+002,-1.2326591E+002,-6.7745765E+001, 3.2360956E+001
 8.0100645E-001, 1.2551228E+002, 1.0053614E+002,-1.2332836E+002,-6.8043642E+001, 3.2366306E+001
 8.0342177E-001, 1.2551228E+002, 1.0083929E+002,-1.2338937E+002,-6.8341666E+001, 3.2371506E+001
 8.0583709E-001, 1.2551228E+002, 1.0114244E+002,-1.2344874E+002,-6.8639834E+001, 3.2376561E+001
 8.0825240E-001, 1.2551228E+002, 1.0144560E+002,-1.2350634E+002,-6.8938140E+001, 3.2381475E+001
 8.1066772E-001, 1.2551228E+002, 1.0174875E+002,-1.2356207E+002,-6.9236582E+001, 3.2386252E+001
 8.1308303E-001, 1.2551228E+002, 1.0205190E+002,-1.2361582E+002,-6.9535153E+001, 3.2390896E+001
 8.1549835E-001, 1.2551228E+002, 1.0235505E+002,-1.2366744E+002,-6.9833849E+001, 3.2395413E+001
 8.1791366E-001, 1.2551228E+002, 1.0265820E+002,-1.2371675E+002,-7.0132664E+001, 3.2399808E+001
 8.2032898E-001, 1.2551228E+002, 1.0296135E+002,-1.2376368E+002,-7.0431592E+001, 3.2404087E+001
 8.2274429E-001, 1.2551228E+002, 1.0326451E+002,-1.2380817E+002,-7.0730628E+001, 3.2408255E+001
 8.2515961E-001, 1.2551228E+002, 1.0356766E+002,-1.2385022E+002,-7.1029765E+001, 3.2412319E+001
 8.2757493E-001, 1.2551228E+002, 1.0387081E+002,-1.2388993E+002,-7.1328999E+001, 3.2416284E+001
 8.2999024E-001, 1.2551228E+002, 1.0417396E+002,-1.2392745E+002,-7.1628323E+001, 3.2420156E+001
 8.3240556E-001, 1.2551228E+002, 1.0447711E+002,-1.2396300E+002,-7.1927732E+001, 3.2423940E+001
 8.3482087E-001, 1.2551228E+002, 1.0478026E+002,-1.2399677E+002,-7.2227224E+001, 3.2427640E+001
 8.3723619E-001, 1.2551228E+002, 1.0508342E+002,-1.2402906E+002,-7.2526793E+001, 3.2431261E+001
 8.3965150E-001, 1.2551228E+002, 1.0538657E+002,-1.2406017E+002,-7.2826437E+001, 3.2434805E+001
 8.4206682E-001, 1.2551228E+002, 1.0568972E+002,-1.2409041E+002,-7.3126155E+001, 3.2438275E+001
 8.4448213E-001, 1.2551228E+002, 1.0599287E+002,-1.2412004E+002,-7.3425944E+001, 3.2441673E+001
 8.4689745E-001, 1.2551228E+002, 1.0629602E+002,-1.2414927E+002,-7.3725804E+001, 3.2445001E+001
 8.4931276E-001, 1.2551228E+002, 1.0659917E+002,-1.2417826E+002,-7.4025733E+001, 3.2448258E+001
 8.5172808E-001, 1.2551228E+002, 1.0690233E+002,-1.2420713E+002,-7.4325733E+001, 3.2451445E+001
 8.5414340E-001, 1.2551228E+002, 1.0720548E+002,-1.2423589E+002,-7.4625802E+001, 3.2454562E+001
 8.5655871E-001, 1.2551228E+002, 1.0750863E+002,-1.2426444E+002,-7.4925939E+001, 3.2457611E+001
 8.5897403E-001, 1.2551228E+002, 1.0781178E+002,-1.2429261E+002,-7.5226145E+001, 3.2460590E+001
 8.6138934E-001, 1.2551228E+002, 1.0811493E+002,-1.2432025E+002,-7.5526418E+001, 3.2463503E+001
 8.6380466E-001, 1.2551228E+002, 1.0841809E+002,-1.2434728E+002,-7.5826756E+001, 3.2466349E+001
 8.6621997E-001, 1.2551228E+002, 1.0872124E+002,-1.2437359E+002,-7.6127157E+001, 3.2469131E+001
 8.6863529E-001, 1.2551228E+002, 1.0902439E+002,-1.2439910E+002,-7.6427620E+001, 3.2471850E+001
 8.7105060E-001, 1.2551228E+002, 1.0932754E+002,-1.2442374E+002,-7.6728143E+001, 3.2474508E+001
 8.7346592E-001, 1.2551228E+002, 1.0963069E+002,-1.2444748E+002,-7.7028723E+001, 3.2477108E+001
 8.7588124E-001, 1.2551228E+002, 1.0993384E+002,-1.2447038E+002,-7.7329358E+001, 3.2479652E+001
 8.7829655E-001, 1.2551228E+002, 1.1023700E+002,-1.2449252E+002,-7.7630047E+001, 3.2482141E+001
 8.8071187E-001, 1.2551228E+002, 1.1054015E+002,-1.2451398E+002,-7.7930787E+001, 3.2484578E+001
 8.8312718E-001, 1.2551228E+002, 1.1084330E+002,-1.2453487E+002,-7.8231578E+001, 3.2486964E+001
 8.8554250E-001, 1.2551228E+002, 1.1114645E+002,-1.2455526E+002,-7.8532419E+001, 3.2489299E+001
 8.8795781E-001, 1.2551228E+002, 1.1144960E+002,-1.2457519E+002,-7.8833307E+001, 3.2491587E+001
 8.9037313E-001, 1.2551228E+002, 1.1175275E+002,-1.2459465E+002,-7.9134242E+001, 3.2493826E+001
 8.9278844E-001, 1.2551228E+002, 1.1205591E+002,-1.2461364E+002,-7.9435224E+001, 3.2496019E+001
 8.9520376E-001, 1.2551228E+002, 1.1235906E+002,-1.2463217E+002,-7.9736250E+001, 3.2498167E+001
 8.9761908E-001, 1.2551228E+002, 1.1266221E+002,-1.2465022E+002,-8.0037319E+001, 3.2500271E+001
 9.0003439E-001, 1.2551228E+002, 1.1296536E+002,-1.2466780E+002,-8.0338431E+001, 3.2502332E+001
 9.0244971E-001, 1.2551228E+002, 1.1326851E+002,-1.2468496E+002,-8.0639585E+001, 3.2504350E+001
 9.0486502E-001, 1.2551228E+002, 1.1357167E+002,-1.2470178E+002,-8.0940779E+001, 3.2506328E+001
 9.0728034E-001, 1.2551228E+002, 1.1387482E+002,-1.2471832E+002,-8.1242013E+001, 3.2508266E+001
 9.0969565E-001, 1.2551228E+002, 1.1417797E+002,-1.2473461E+002,-8.1543287E+001, 3.2510163E+001
 9.1211097E-001, 1.2551228E+002, 1.1448112E+002,-1.2475062E+002,-8.1844599E+001, 3.2512022E+001
 9.1452628E-001, 1.2551228E+002, 1.1478427E+002,-1.2476640E+002,-8.2145949E+001, 3.2513843E+001
 9.1694160E-001, 1.2551228E+002, 1.1508742E+002,-1.2478196E+002,-8.2447337E+001, 3.2515625E+001
 9.1935691E-001, 1.2551228E+002, 1.1539058E+002,-1.2479740E+002,-8.2748762E+001, 3.2517371E+001
 9.2177223E-001, 1.2551228E+002, 1.1569373E+002,-1.2481274E+002,-8.3050224E+001, 3.2519079E+001
 9.2418755E-001, 1.2551228E+002, 1.1599688E+002,-1.2482807E+002,-8.3351723E+001, 3.2520750E+001
 9.2660286E-001, 1.2551228E+002, 1.1630003E+002,-1.2484336E+002,-8.3653259E+001, 3.2522384E+001
 9.2901818E-001, 1.2551228E+002, 1.1660318E+002,-1.2485860E+002,-8.3954832E+001, 3.2523981E+001
 9.3143349E-001, 1.2551228E+002, 1.1690633E+002,-1.2487381E+002,-8.4256442E+001, 3.2525542E+001
 9.3384881E-001, 1.2551228E+002, 1.1720949E+002,-1.2488903E+002,-8.4558088E+001, 3.2527065E+001
 9.3626412E-001, 1.2551228E+002, 1.1751264E+002,-1.2490432E+002,-8.4859772E+001, 3.2528552E+001
 9.3867944E-001, 1.2551228E+002, 1.1781579E+002,-1.2491969E+002,-8.5161492E+001, 3.2530002E+001
 9.4109475E-001, 1.2551228E+002, 1.1811894E+002,-1.2493521E+002,-8.5463250E+001, 3.2531415E+001
 9.4351007E-001, 1.2551228E+002, 1.1842209E+002,-1.2495086E+002,-8.5765046E+001, 3.2532790E+001
 9.4592539E-001, 1.2551228E+002, 1.1872525E+002,-1.2496659E+002,-8.6066879E+001, 3.2534127E+001
 9.4834070E-001, 1.2551228E+002, 1.1902840E+002,-1.2498228E+002,-8.6368751E+001, 3.2535426E+001
 9.5075602E-001, 1.2551228E+002, 1.1933155E+002,-1.2499782E+002,-8.6670660E+001, 3.2536687E+001
 9.5317133E-001, 1.2551228E+002, 1.1963470E+002,-1.2501309E+002,-8.6972606E+001, 3.2537911E+001
 9.5558665E-001, 1.2551228E+002, 1.1993785E+002,-1.2502799E+002,-8.7274588E+001, 3.2539099E+001
 9.5800196E-001, 1.2551228E+002, 1.2024100E+002,-1.2504249E+002,-8.7576605E+001, 3.2540251E+001
 9.6041728E-001, 1.2551228E+002, 1.2054416E+002,-1.2505658E+002,-8.7878657E+001, 3.2541368E+001
 9.6283259E-001, 1.2551228E+002, 1.2084731E+002,-1.2507032E+002,-8.8180741E+001, 3.2542452E+001
 9.6524791E-001, 1.2551228E+002, 1.2115046E+002,-1.2508379E+002,-8.8482858E+001, 3.2543503E+001
 9.6766323E-001, 1.2551228E+002, 1.2145361E+002,-1.2509708E+002,-8.8785007E+001, 3.2544522E+001
 9.7007854E-001, 1.2551228E+002, 1.2175676E+002,-1.2511032E+002,-8.9087187E+001, 3.2545509E+001
 9.7249386E-001, 1.2551228E+002, 1.2205991E+002,-1.2512359E+002,-8.9389400E+001, 3.2546464E+001
 9.7490917E-001, 1.2551228E+002, 1.2236307E+002,-1.2513695E+002,-8.9691646E+001, 3.2547386E+001
 9.7732449E-001, 1.2551228E+002, 1.2266622E+002,-1.2515036E+002,-8.9993923E+001, 3.2548277E+001
 9.7973980E-001, 1.2551228E+002, 1.2296937E+002,-1.2516372E+002,-9.0296233E+001, 3.2549135E+001
 9.8215512E-001, 1.2551228E+002, 1.2327252E+002,-1.2517693E+002,-9.0598575E+001, 3.2549961E+001
 9.8457043E-001, 1.2551228E+002, 1.2357567E+002,-1.2518983E+002,-9.0900948E+001, 3.2550755E+001
 9.8698575E-001, 1.2551228E+002, 1.2387882E+002,-1.2520231E+002,-9.1203351E+001, 3.2551518E+001
 9.8940106E-001, 1.2551228E+002, 1.2418198E+002,-1.2521425E+002,-9.1505783E+001, 3.2552252E+001
 9.9181638E-001, 1.2551228E+002, 1.2448513E+002,-1.2522562E+002,-9.1808242E+001, 3.2552958E+001
 9.9423170E-001, 1.2551228E+002, 1.2478828E+002,-1.2523642E+002,-9.2110728E+001, 3.2553637E+001
 9.9664701E-001, 1.2551228E+002, 1.2509143E+002,-1.2524663E+002,-9.2413238E+001, 3.2554291E+001
 9.9906233E-001, 1.2551228E+002, 1.2539458E+002,-1.2525625E+002,-9.2715771E+001, 3.2554921E+001
 1.0000000E+000, 1.2551228E+002, 1.2551227E+002,-1.2525982E+002,-9.2833224E+001, 3.2555159E+001
