s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 6.5279250E+000, 9.9998256E-001, 9.8305551E-001, 9.6143237E-004, 8.0000000E+000
 6.6165837E+000, 9.9997852E-001, 9.8433189E-001, 9.0208748E-004, 8.0000000E+000
 6.7052424E+000, 9.9997471E-001, 9.8548033E-001, 8.3306922E-004, 8.0000000E+000
 6.7939011E+000, 9.9997227E-001, 9.8655551E-001, 8.3928651E-004, 8.0000000E+000
 6.8825598E+000, 9.9997064E-001, 9.8759592E-001, 8.3764803E-004, 8.0000000E+000
 6.9712185E+000, 9.9996777E-001, 9.8857465E-001, 9.0783668E-004, 8.0000000E+000
 7.0598772E+000, 9.9996055E-001, 9.8936719E-001, 9.1320109E-004, 9.0000000E+000
 7.1485359E+000, 9.9994576E-001, 9.8988349E-001, 8.8695968E-004, 9.0000000E+000
 7.2371946E+000, 9.9992364E-001, 9.9003988E-001, 9.7661431E-004, 8.0000000E+000
 7.3258533E+000, 9.9989624E-001, 9.8971175E-001, 8.6848937E-004, 8.0000000E+000
 7.4145119E+000, 9.9986686E-001, 9.8886104E-001, 8.9955454E-004, 8.0000000E+000
 7.5031706E+000, 9.9983794E-001, 9.8748101E-001, 9.4364258E-004, 8.0000000E+000
 7.5918293E+000, 9.9981116E-001, 9.8450130E-001, 9.9996586E-004, 5.4000000E+001
 7.6804880E+000, 9.9980829E-001, 9.8066119E-001, 9.9989206E-004, 7.9000000E+001
 7.7691467E+000, 9.9980934E-001, 9.7685195E-001, 9.9795158E-004, 1.2000000E+001
 7.8578054E+000, 9.9981224E-001, 9.7319557E-001, 9.8732665E-004, 1.0000000E+001
 7.9464641E+000, 9.9981856E-001, 9.6994584E-001, 9.7075898E-004, 1.5000000E+001
 8.0351228E+000, 9.9983898E-001, 9.6778766E-001, 9.9627233E-004, 2.4000000E+001
 8.1237815E+000, 9.9987492E-001, 9.6704805E-001, 9.9612166E-004, 2.6000000E+001
 8.2124402E+000, 9.9991461E-001, 9.6711086E-001, 9.9790800E-004, 1.9000000E+001
 8.3010989E+000, 9.9995152E-001, 9.6763448E-001, 9.9922262E-004, 1.5000000E+001
 8.3897575E+000, 9.9997682E-001, 9.6879877E-001, 9.9563889E-004, 2.1000000E+001
 8.4784162E+000, 9.9998613E-001, 9.7046190E-001, 9.9981742E-004, 2.1000000E+001
 8.5670749E+000, 9.9998317E-001, 9.7233689E-001, 9.9102326E-004, 1.7000000E+001
 8.6557336E+000, 9.9997137E-001, 9.7425772E-001, 9.8966122E-004, 1.4000000E+001
 8.7443923E+000, 9.9995493E-001, 9.7610738E-001, 9.9849863E-004, 1.1000000E+001
 8.8330510E+000, 9.9993730E-001, 9.7780943E-001, 9.5471883E-004, 1.0000000E+001
 8.9217097E+000, 9.9992151E-001, 9.7931110E-001, 9.3572941E-004, 9.0000000E+000
 9.0103684E+000, 9.9990960E-001, 9.8057753E-001, 9.5914249E-004, 8.0000000E+000
 9.0990271E+000, 9.9990188E-001, 9.8158805E-001, 8.9222093E-004, 8.0000000E+000
 9.1876858E+000, 9.9989801E-001, 9.8233423E-001, 9.2542009E-004, 8.0000000E+000
 9.2763444E+000, 9.9989596E-001, 9.8283932E-001, 9.3469210E-004, 8.0000000E+000
 9.3650031E+000, 9.9989375E-001, 9.8313414E-001, 9.2965602E-004, 8.0000000E+000
 9.4536618E+000, 9.9989076E-001, 9.8323648E-001, 9.4797039E-004, 8.0000000E+000
 9.5423205E+000, 9.9988754E-001, 9.8318639E-001, 9.0275690E-004, 9.0000000E+000
 9.6309792E+000, 9.9988616E-001, 9.8298073E-001, 9.2292482E-004, 9.0000000E+000
