s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 6.4592340E+000, 9.9998222E-001, 9.7164401E-001, 9.2061214E-004, 9.0000000E+000
 6.5487726E+000, 9.9997854E-001, 9.7244863E-001, 9.4280864E-004, 8.0000000E+000
 6.6383112E+000, 9.9997471E-001, 9.7330762E-001, 9.0418570E-004, 8.0000000E+000
 6.7278498E+000, 9.9997075E-001, 9.7423859E-001, 9.3091328E-004, 7.0000000E+000
 6.8173884E+000, 9.9996548E-001, 9.7521744E-001, 9.9612393E-004, 6.0000000E+000
 6.9069271E+000, 9.9995727E-001, 9.7603018E-001, 9.4719151E-004, 7.0000000E+000
 6.9964657E+000, 9.9994304E-001, 9.7667851E-001, 9.4872073E-004, 7.0000000E+000
 7.0860043E+000, 9.9991972E-001, 9.7706345E-001, 9.6300713E-004, 7.0000000E+000
 7.1755429E+000, 9.9988646E-001, 9.7707511E-001, 9.6008795E-004, 7.0000000E+000
 7.2650815E+000, 9.9984515E-001, 9.7663312E-001, 9.4451177E-004, 7.0000000E+000
 7.3546201E+000, 9.9979947E-001, 9.7569814E-001, 9.2502066E-004, 7.0000000E+000
 7.4441587E+000, 9.9975269E-001, 9.7428188E-001, 9.8060402E-004, 6.0000000E+000
 7.5336973E+000, 9.9970645E-001, 9.7244664E-001, 9.7296519E-004, 6.0000000E+000
 7.6232359E+000, 9.9966166E-001, 9.7025608E-001, 9.4379230E-004, 6.0000000E+000
 7.7127746E+000, 9.9962889E-001, 9.6741598E-001, 9.9997135E-004, 4.6000000E+001
 7.8023132E+000, 9.9962934E-001, 9.6440571E-001, 9.9934242E-004, 5.0000000E+001
 7.8918518E+000, 9.9963323E-001, 9.6138176E-001, 9.9979010E-004, 6.0000000E+000
 7.9813904E+000, 9.9964173E-001, 9.5844720E-001, 9.9672296E-004, 7.0000000E+000
 8.0709290E+000, 9.9965838E-001, 9.5565301E-001, 9.4450070E-004, 9.0000000E+000
 8.1604676E+000, 9.9968378E-001, 9.5318034E-001, 9.6697451E-004, 1.0000000E+001
 8.2500062E+000, 9.9971701E-001, 9.5129944E-001, 9.8604071E-004, 1.1000000E+001
 8.3395448E+000, 9.9975573E-001, 9.5024301E-001, 9.6900804E-004, 1.2000000E+001
 8.4290834E+000, 9.9979663E-001, 9.5005315E-001, 9.6588123E-004, 1.2000000E+001
 8.5186221E+000, 9.9983706E-001, 9.5065821E-001, 9.9313673E-004, 1.2000000E+001
 8.6081607E+000, 9.9987429E-001, 9.5195137E-001, 9.7256727E-004, 1.3000000E+001
 8.6976993E+000, 9.9990599E-001, 9.5374317E-001, 9.8495836E-004, 1.3000000E+001
 8.7872379E+000, 9.9993044E-001, 9.5585334E-001, 9.9249032E-004, 1.3000000E+001
 8.8767765E+000, 9.9994638E-001, 9.5813609E-001, 9.7525290E-004, 1.3000000E+001
 8.9663151E+000, 9.9995343E-001, 9.6045075E-001, 9.6828943E-004, 1.2000000E+001
 9.0558537E+000, 9.9995187E-001, 9.6267794E-001, 9.5911948E-004, 1.1000000E+001
 9.1453923E+000, 9.9994237E-001, 9.6472574E-001, 9.3812782E-004, 1.0000000E+001
 9.2349309E+000, 9.9992618E-001, 9.6652487E-001, 9.8141957E-004, 8.0000000E+000
 9.3244696E+000, 9.9990463E-001, 9.6807072E-001, 9.9008781E-004, 8.0000000E+000
 9.4140082E+000, 9.9988008E-001, 9.6937879E-001, 9.6669783E-004, 8.0000000E+000
 9.5035468E+000, 9.9985517E-001, 9.7051930E-001, 9.2696433E-004, 8.0000000E+000
 9.5930854E+000, 9.9983274E-001, 9.7155387E-001, 8.9937846E-004, 8.0000000E+000
 9.6826240E+000, 9.9981433E-001, 9.7248992E-001, 9.1243238E-004, 8.0000000E+000
 9.7721626E+000, 9.9980088E-001, 9.7327618E-001, 8.9150556E-004, 8.0000000E+000
 9.8617012E+000, 9.9979136E-001, 9.7379934E-001, 8.8131979E-004, 8.0000000E+000
 9.9512398E+000, 9.9978527E-001, 9.7400301E-001, 8.4221541E-004, 8.0000000E+000
 1.0040778E+001, 9.9978226E-001, 9.7379350E-001, 9.4050553E-004, 8.0000000E+000
 1.0130317E+001, 9.9978339E-001, 9.7322584E-001, 9.2862036E-004, 9.0000000E+000
 1.0219856E+001, 9.9979004E-001, 9.7233504E-001, 9.3209140E-004, 9.0000000E+000
 1.0309394E+001, 9.9980329E-001, 9.7119179E-001, 9.2971334E-004, 9.0000000E+000
 1.0398933E+001, 9.9982219E-001, 9.6991692E-001, 9.3668153E-004, 9.0000000E+000
 1.0488472E+001, 9.9984404E-001, 9.6869034E-001, 9.3497850E-004, 9.0000000E+000
 1.0578010E+001, 9.9986652E-001, 9.6769447E-001, 9.4021849E-004, 1.0000000E+001
 1.0667549E+001, 9.9988722E-001, 9.6699973E-001, 9.5934099E-004, 1.0000000E+001
 1.0757087E+001, 9.9990509E-001, 9.6663460E-001, 9.6857278E-004, 1.0000000E+001
 1.0846626E+001, 9.9992091E-001, 9.6673121E-001, 9.6431735E-004, 1.1000000E+001
 1.0936165E+001, 9.9993613E-001, 9.6740623E-001, 9.6915187E-004, 1.2000000E+001
 1.1025703E+001, 9.9995202E-001, 9.6897882E-001, 9.9514173E-004, 1.3000000E+001
 1.1115242E+001, 9.9996878E-001, 9.7182367E-001, 9.8446917E-004, 1.5000000E+001
 1.1204780E+001, 9.9998579E-001, 9.7583138E-001, 9.9448948E-004, 1.4000000E+001
 1.1294319E+001, 1.0000024E+000, 9.8095720E-001, 9.9132705E-004, 1.3000000E+001
 1.1383858E+001, 1.0000189E+000, 9.8712290E-001, 9.9807004E-004, 1.2000000E+001
 1.1473396E+001, 1.0000359E+000, 9.9431080E-001, 9.3174540E-004, 1.2000000E+001
 1.1562935E+001, 1.0000540E+000, 1.0023841E+000, 9.4824585E-004, 1.0000000E+001
