s,kW/m2,(kg/m2/s)
Time,HRRPUA,MLRPUA
202,109.4708536,0.013046499
203,107.1153358,0.010258019
204,103.4754743,0.007724334
205,111.0630965,0.007306753
206,112.113125,0.008770142
207,111.5506614,0.009561384
208,109.9012714,0.009103689
209,109.1265989,0.008069561
210,109.4280881,0.008839055
211,110.4600776,0.011819479
212,110.9408493,0.012214379
213,113.0973227,0.01064473
214,112.5228298,0.006929349
215,111.5141844,0.008708852
216,110.5656601,0.013618935
217,109.7273665,0.016008509
218,110.5668165,0.012746421
219,113.7114934,0.008752828
220,111.2436611,0.008758707
221,108.1840557,0.010499978
222,109.2941324,0.008276383
223,109.7037303,0.003985338
224,107.1848331,0.006480075
225,107.9351363,0.012186809
226,107.1796903,0.015521968
227,106.830843,0.012771873
228,104.8175801,0.009941927
229,105.1295457,0.008701128
230,106.192324,0.008510203
231,106.4286213,0.010417169
232,104.9579231,0.011502058
233,107.1387101,0.010330408
234,104.1292781,0.009311501
235,105.8442634,0.008927222
236,104.4955842,0.010174177
237,104.5746488,0.011796386
238,105.3618391,0.012667135
239,108.0742098,0.00894649
240,105.0505986,0.004013292
241,105.1999898,0.004702306
242,107.9575884,0.010379088
243,107.2923724,0.014586501
244,105.8703239,0.013306426
245,102.6864068,0.010025965
246,101.5816036,0.008299865
247,102.9420782,0.008412959
248,101.5378015,0.010216321
249,103.4762655,0.011376046
250,100.8909115,0.010148024
251,102.0040639,0.008485555
252,104.0526086,0.007048234
253,101.375006,0.008499921
254,100.0522482,0.008840969
255,102.8497469,0.009073049
256,104.613442,0.009309685
257,101.5976949,0.010827027
258,102.0296948,0.009832733
259,102.2367327,0.007654751
260,101.2515867,0.010493807
261,100.7197965,0.010129519
262,100.189923,0.00878766
263,98.29663868,0.007875924
264,99.38125537,0.009887927
265,96.01076928,0.012676078
266,98.32278921,0.009905235
267,97.04807066,0.005674095
268,96.49175032,0.003562613
269,96.03899745,0.004891362
270,98.63278474,0.010647166
271,96.75012058,0.015642006
272,96.58885227,0.016554883
273,95.5997104,0.011333424
274,93.44075112,0.004505964
275,93.12885544,0.005325179
276,96.30103068,0.008245415
277,98.0212663,0.011008462
278,95.25668989,0.008936658
279,97.0957839,0.008421707
280,98.08828736,0.011272769
281,96.11953281,0.010015746
282,98.14247807,0.008757124
283,95.37116115,0.006798159
284,93.34575899,0.007447904
285,91.4493429,0.009291708
286,94.1735629,0.012089643
287,96.1422668,0.011116041
288,94.93757299,0.007612293
289,95.75193723,0.00800719
290,93.99553355,0.009916154
291,93.77195616,0.011678893
292,94.07003786,0.006755854
293,96.82260176,0.004297015
294,95.90860311,0.006952049
295,93.55789296,0.009160825
296,92.08739612,0.009383358
297,92.72304573,0.010168772
298,93.18729042,0.011292349
299,92.10693334,0.009920588
300,90.03904701,0.007224884
301,91.48630848,0.006152561
302,92.30277443,0.008608707
303,92.68730531,0.011067037
304,91.57482096,0.010558619
305,92.42390763,0.008721861
306,93.4219795,0.006089288
307,93.9011424,0.006443166
308,90.96601308,0.011042063
309,91.37446479,0.012239087
310,91.46921462,0.010562311
311,93.79654855,0.007112861
312,94.64340675,0.005624177
313,91.46308511,0.008224783
314,91.4822781,0.010181165
315,93.16147294,0.010701342
316,93.26490095,0.008349909
317,92.96399637,0.006405006
318,93.31841087,0.008370136
319,92.62239986,0.009848124
320,94.19113626,0.011052533
321,95.44376943,0.011028595
322,94.46946928,0.010519583
323,94.43129453,0.008982601
324,94.46724406,0.008444422
325,93.80657941,0.007090909
326,96.32441169,0.007654553
327,90.51701882,0.008251317
328,92.31559656,0.009376471
329,91.94172667,0.010296534
330,93.41065685,0.009347455
331,92.87061544,0.008091695
332,95.39836955,0.007216447
333,95.79264883,0.010273165
334,93.7017569,0.0124336
335,95.92810505,0.01087286
336,94.92452911,0.005532626
337,93.46432197,0.005239784
338,97.04771074,0.00895088
339,96.31070109,0.010425996
340,93.11558872,0.009875632
341,94.84717378,0.008272543
342,96.83993842,0.008946129
343,93.90138149,0.009090017
344,93.63967934,0.007945488
345,94.13571887,0.009041528
346,96.01614398,0.009790705
347,96.18271653,0.009342355
348,92.32218961,0.008819246
349,94.23332549,0.009818269
350,94.60118139,0.011483462
351,93.08138118,0.008697178
352,93.93839941,0.00610203
353,94.11342784,0.007209012
354,96.42246491,0.00861185
355,96.29981062,0.009347634
356,93.76806319,0.0091852
357,94.19336831,0.010812195
358,92.48463578,0.010508717
359,92.04843071,0.009274425
360,93.22655827,0.008672241
361,92.63050449,0.008010577
362,93.88057188,0.008673797
363,93.7258169,0.009685291
364,94.48671708,0.010396383
365,95.27665082,0.009451552
366,94.29176701,0.009121207
367,93.81230926,0.010832259
368,93.0511054,0.01031212
369,95.48907565,0.007546151
370,93.7742025,0.005401122
371,92.43914236,0.005510326
372,93.77589173,0.008213923
373,93.48684941,0.009655556
374,94.5367292,0.008989046
375,93.48753038,0.008077649
376,92.16943494,0.008675723
377,93.23763427,0.011542022
378,94.14240547,0.011933817
379,93.44361397,0.009076983
380,93.02512519,0.00755838
381,95.74663053,0.009402096
382,92.07917104,0.010750569
383,91.90832028,0.009272169
384,93.99570881,0.00804935
385,96.35578137,0.008356555
386,95.90867379,0.009971594
387,98.60546345,0.010990809
388,97.93838685,0.011522015
389,97.52010253,0.010893781
390,95.94280417,0.009044485
391,96.8105855,0.008854066
392,98.64300201,0.00980537
393,98.24960718,0.008911029
394,94.38399422,0.006557878
395,96.08611149,0.00647949
396,93.16251832,0.008245327
397,94.7394765,0.010151766
398,95.33015275,0.010085825
399,93.97697011,0.008763408
400,95.63339658,0.008559465
401,95.09546664,0.008933798
402,94.442308,0.008136165
403,94.38088486,0.008809659
404,93.7625705,0.009644228
405,90.9275913,0.009247499
406,91.62280085,0.008736322
407,93.42875233,0.008129563
408,92.54228216,0.009958267
409,92.04143729,0.009644997
410,95.67175654,0.007852134
411,95.03747604,0.008166635
412,92.18969346,0.010148366
413,92.94999579,0.01093859
414,91.8938296,0.008812079
415,93.92658363,0.008196295
416,94.68052313,0.008077756
417,93.74337944,0.008969045
418,96.531461,0.008666698
419,95.28629188,0.00837604
420,93.93176367,0.008415853
421,93.31702204,0.008616896
422,94.59255946,0.010351229
423,90.35386337,0.009938386
424,90.7735156,0.009495635
425,91.55968184,0.008367147
426,91.78179768,0.009957633
427,91.74758383,0.008285033
428,94.17337724,0.006884719
429,93.56060255,0.007159597
430,91.42081203,0.008662535
431,92.91706744,0.009685747
432,92.35819301,0.008411969
433,91.50834784,0.008663424
434,91.63832057,0.008479805
435,90.17616878,0.010089706
